sentence,label,avg_nll,p95,run
A boy won't be including a finite set.,-1,5.732347,11.674387,3
A teenager was searching for a a vehicle window.,-1,5.517530,9.886427,4
A military chapel will refinance a secured loan.,-1,5.993310,9.989248,6
A fly insect converted a light truck for a distributor.,-1,6.578098,10.840759,8
A woman will be massaging a girl.,-1,5.015457,6.587476,3
Ten human children produces some petroleum lubricant.,-1,8.036421,13.597705,7
A deity has not designed some fuel vapor.,-1,7.458100,10.521888,9
A teenager is dishonorring 10 teenagers.,-1,6.700439,14.790596,2
A man will dodge a badger.,-1,5.952061,9.002019,4
An eye glass extended.,-1,7.996429,8.577270,5
A deity ciphered an even integer.,-1,7.459424,12.902519,3
A boy is not toying.,-1,5.439317,7.969146,4
A teenager has not searched for a a vocal cords.,-1,6.147424,12.138742,4
A teenager reckons an unit of length.,-1,6.511089,11.034957,3
A Bunny was kicking a walnut with a foot.,-1,5.732580,11.452439,4
A woman is befriending a human child.,-1,4.547617,7.658928,2
A mollusk won't be catching a computer.,-1,5.551771,10.229348,2
A man will buy a baseball steal.,-1,6.149545,9.774313,4
A domestic cat will harm 10 orchids.,-1,5.784312,9.711057,3
A deity will be lending a six anterior intercostal branch artery to a human adult.,-1,5.533318,12.902519,3
A rift valley fever will be infecting an elephant.,-1,5.956662,10.313378,5
An angel advertises a blackboard to a boy.,-1,4.812918,7.931018,3
A human child is recollecting an international agreement.,-1,5.975918,10.363185,3
A game room is suffering a parrot a passport.,-1,6.645559,11.394855,4
Two human youths will vandalize a wire line.,-1,6.854031,11.108269,5
A box has not supported a domestic animal a T9 Vertebra Bone.,-1,6.702691,10.276063,5
A human baby plans a nodding.,-1,6.752663,10.614580,4
3.75 liquor shots of freshwater was freezing.,-1,7.779309,12.529169,3
A woody plant radiates a license a decaploid cell.,-1,6.412914,12.483635,7
A teenager is not aviating an airplane.,-1,5.481018,8.064207,4
A teenager shot some azulfidine into a mule.,-1,6.125658,11.431842,6
A human youth reproduces an air conditioning compressor.,-1,5.956894,11.122592,4
A teenager will resolve a question.,-1,6.496846,8.064207,4
Three women strangled a girl.,-1,5.479928,8.085855,3
A human youth is transforming a Christmas day.,-1,6.618481,8.734351,5
A wind surfing board burns.,-1,7.594920,9.781574,6
A human child compared a media organization.,-1,7.656664,9.679223,8
A teenager pips a chain gun.,-1,6.463467,9.825768,4
Zero human youths are purchasing a label.,-1,8.471152,11.682474,3
A C.V. joint will gain.,-1,7.122476,9.851615,4
Who will bombard?,-1,7.505983,7.757669,4
A girl solders some brass.,-1,6.206743,8.161546,6
Eight corynebacterium diphtheriaes were eating some salmon meat.,-1,4.788303,11.081056,6
A girl takes a light truck.,-1,5.997491,8.372080,3
A heel bone will be harming a progeny vaccinia virus immature.,-1,7.166261,14.125150,4
A boy isn't detecting a strictness attribute.,-1,6.703358,11.576595,3
A woman discovers a profession.,-1,5.695029,7.292506,3
A saxophone runs.,-1,6.672418,9.631236,2
An alligator kills a junin virus.,-1,6.238491,7.747927,4
A sheepdog will not drink some whiskey.,-1,5.883456,8.352241,3
A human baby assorts a set of equations.,-1,5.869204,8.801691,5
A man will press a vertebra bone.,-1,5.580085,11.259884,4
A human youth will not give an ergometer to a human adult.,-1,5.046737,11.114723,9
A mollusk smells with 2 noses.,-1,5.335480,11.724479,2
A butterfly is not respiring 1.412 cups of greenhouse gas.,-1,5.783044,12.524875,2
An angel will advertize a road junction to a woman.,-1,5.763545,8.091101,4
A teenager ironed some thyroxine.,-1,6.512693,14.124382,3
A human youth destined a political pressure group to accomplish an ulcerative colitis.,-1,6.119855,11.797283,7
A woman buys a position.,-1,5.754922,7.212381,3
An anti-vaxxer takes a barricade.,-1,4.225161,6.652778,3
A teenager has not peeled an eyelid from a yellow fever virus.,-1,5.363270,8.477726,4
Ten cattles are kicking some alcoholic beverage with a foot.,-1,6.688354,11.338036,3
An ascending aorta radiates a wheel chock a spinal cord.,-1,5.755386,10.924038,5
A pigeon sprays some aperitif.,-1,5.219641,11.150325,3
Rita doesn't intercommunicate with a deity.,-1,5.106850,9.865126,3
An Aegilops Tauschii refinanced a single payment loan.,-1,4.648454,7.455922,5
A teenager will refer a finite set.,-1,6.514007,10.209488,4
A human baby is imagining some thyroid stimulating hormone.,-1,6.437694,14.120938,4
A lamb isn't taking some Coca_Cola.,-1,7.228546,13.025204,4
A teenager was irrigating the fertile terrain.,-1,6.267425,9.588566,3
A teenager broke.,-1,7.973172,8.064207,4
Some bupropion will shut.,-1,6.004558,8.573206,3
A human adult produced a temperature falling (experienced as feeling cold) to a human baby.,-1,4.946734,8.325897,7
A human child doesn't disburse a human child.,-1,5.034492,8.325897,4
A smoking pipe doesn't drill the hole.,-1,5.507458,10.988234,4
5 human adults doesn't find 7 spinal columns.,-1,6.807641,11.739909,5
A human child is not bombing.,-1,6.828587,8.325897,3
An airbag inflated with some greenhouse gas.,-1,5.545055,6.982145,7
A sports team will be refinancing a balloon loan.,-1,4.986048,8.054060,4
18.737 ounces of ground water is diluting some antifreeze.,-1,5.599127,12.095418,2
A human child chokes a human adult.,-1,4.820441,8.325897,4
A herpes virus uncovers a putting green.,-1,6.237896,12.947170,3
An airbag inflates with some greenhouse gas.,-1,4.782930,6.373613,3
A pig is not drawing some unnildecium.,-1,6.443546,12.815249,6
A delta variant is selling some asbestos an unincorporated united states territory.,-1,6.073645,11.751151,10
An angel was not seeking for a a surfboard.,-1,5.744992,9.186256,6
A teenager doesn't ideate a prairie.,-1,5.929461,9.310434,3
Nine cattles are kicking some anti-parasitic with a foot.,-1,5.963932,10.270500,8
A Missionskyrkan has not squeezed a face.,-1,6.731216,13.006360,5
A periodical publisher was determining from a day school.,-1,7.040109,10.012543,7
An angel is analyzing some thulium.,-1,6.185147,10.786420,4
An angel destined a police organization to accomplish an achieving control.,-1,7.577375,11.122972,6
A girl was presenting a growth stock.,-1,6.275556,9.859574,3
Who is comprehending a written language?,-1,5.045589,7.757669,2
A guinea pig will be spraying some vodka.,-1,5.516838,10.890580,4
An infantry company is translating 5 announcements into a harakmbet language.,-1,5.820609,13.049398,5
A man doesn't shoot some marijuana into a vulture.,-1,5.491773,8.714270,4
A hoofed mammal won't be smelling with a nose.,-1,5.195513,13.693706,3
A human adult pares an eyelid from a dachshund.,-1,4.142511,8.325897,7
Who will be searching for a a condominium building?,-1,5.326780,9.070077,3
A mammal imbibes some whole milk.,-1,4.749774,10.446017,2
A hepatitis doesn't infect a butterfly.,-1,6.398900,11.925068,3
A man will not ideate a shotgun slug.,-1,6.143904,10.855709,5
A girl grew a goose.,-1,6.307656,7.978030,6
A coral is not kicking a pot or pan with a foot.,-1,5.708990,11.421388,10
7 human children ideated an emailing.,-1,8.654125,12.618314,4
A human child determines a question.,-1,6.323657,8.325897,4
A teenager canvass a canal lock.,-1,6.767095,9.152534,8
5 boys are massaging a human adult.,-1,6.168396,11.406939,4
A boy sees an united states cent coin.,-1,6.008710,8.271881,3
A woman impersonates.,-1,6.879845,10.542142,3
An Independent church will not be refinancing a day loan.,-1,5.773548,10.033851,5
A human adult isn't inheritting a pear fruit.,-1,7.102450,11.182648,4
A butterfly will be spraying some processed gaot milk.,-1,8.006641,13.113973,7
8 streptococcus As won't be forcing an insect.,-1,6.546180,15.008987,4
A human adult loaned a ship crew to a girl.,-1,5.848895,9.784426,4
A deity seted a question.,-1,7.516245,12.342883,7
A woman rings a boy a cordless telephone.,-1,5.200986,9.440159,3
An anterior tibial artery won't precipitate a perforating branch to the posterior tibial artery an intestinal artery.,-1,3.785027,11.805633,3
A teenager is sitting a boy to a an auditorium seat.,-1,5.485270,9.019345,4
A llama will add a liquefied gas tanker ship.,-1,5.611072,12.643508,4
Winston uploads a web site.,-1,6.179170,7.129347,3
A data saving doesn't download a computer report.,-1,6.390179,9.292504,4
A Triticum urartu was protecting an artery of bulb of penis.,-1,5.379978,11.044317,4
A deity doesn't treat a canal structure.,-1,7.240206,12.902519,3
9 girls are choking a boy.,-1,5.990206,10.371875,5
A girl retrieves a cocktail menu.,-1,6.924872,10.065344,3
A boy doesn't bring a safe container to some chlorpheniramine.,-1,5.383550,9.866997,3
A teenager will point a submental artery with a leather.,-1,6.403435,10.881741,4
A human baby plays.,-1,6.918795,8.226064,5
A human adult is giving a file path to a deity.,-1,5.552216,10.392567,3
An ornamental fish was nodding a head.,-1,5.306607,8.286722,3
Some hailstone vaporises into a mouth.,-1,6.987010,10.494571,6
A kangaroo was passing some feces from 4 adrenal glands.,-1,5.689413,11.773975,4
Who will be burying?,-1,5.442478,7.757669,2
Ronald was giving a limb to a teenager.,-1,5.303943,9.722900,2
A cloak brays an abayah.,-1,7.268644,11.192537,7
Two men aren't storing a plant branch.,-1,6.874626,11.485682,3
A girl writes a purchase order number.,-1,5.324774,7.939543,3
A shrimp will be selling some anti-inflammatory an ovrigt.,-1,7.051614,11.613481,9
A rift valley fever is infecting an oat grass.,-1,6.351025,11.419252,6
A lamb is adding an accompanying artery of ischiadic nerve.,-1,6.290437,12.008088,7
A hospital building smooths some famotidine.,-1,7.183038,14.010675,4
An Anglican church will take 5 SARSCoV1s.,-1,5.551637,9.322742,6
A human child is not violating 7 human youths.,-1,6.661831,13.057108,6
Seven teenagers are reading a an invoice.,-1,7.356220,10.706326,2
A deity analyzes a radicchio.,-1,6.888352,12.902519,3
A teenager will take from a pocket four girls.,-1,5.985057,8.064207,5
A turtle sprays some milk foam.,-1,6.207843,9.672821,4
A human youth was discovering a portable computer to a 4 by 4 tire.,-1,5.322176,11.797283,5
A commission fires.,-1,8.575196,10.148218,4
A human youth is ironning some chemical base.,-1,7.719700,11.797283,5
Seven women were treating an oxygen sensor.,-1,6.846476,9.571070,5
A human youth doesn't beckon with a hand.,-1,5.397890,11.797283,4
A spear will be concealing a laptop.,-1,5.984757,12.977551,3
A producer price index strengthens.,-1,6.071372,10.991180,3
A coccidioides immitis will not kill.,-1,3.787729,8.224464,3
A constrictor snake adds a bed linen.,-1,5.141402,9.044331,3
A hospital organization protects a communications satellite.,-1,6.728833,9.566671,4
A rattlesnake was killing a toxic organism.,-1,4.854880,11.695214,2
Who will inherit a virus part?,-1,6.398066,10.114262,6
8 bipeds consider at a gastropod.,-1,6.205154,11.121940,2
Who will not dishonour a human child?,-1,5.107540,7.757669,4
A human has not reproduced a Facility.,-1,6.881868,9.769118,5
A human child is not searching for a some connective tissue.,-1,5.405142,12.022827,3
Hamish stole a facial hair from a publisher.,-1,6.181303,12.288332,3
Edmund will be driving a powered vehicle.,-1,5.232517,8.803500,2
A human was inheritting ten rib cages.,-1,7.911176,9.162730,8
A worm has not ate a food from plant.,-1,5.515194,9.912105,3
A human adult will be voting.,-1,6.450832,8.325897,4
A poultry will translate a motion picture into a gallo iberian language.,-1,5.803840,11.451587,4
A pig will not sell some cocoa bean a geopolitical area.,-1,7.286023,10.478317,7
7 human adults were disbursing a human adult.,-1,5.692392,10.957922,3
8 humans damages a military force.,-1,7.971673,13.020929,6
A cerebellar artery isn't firing.,-1,5.640772,10.721142,2
A cub ate some seafood.,-1,7.398297,10.902128,5
A human adult was giving a hominid to a human adult.,-1,4.235298,8.430203,5
A human stole a Naval Air Force from a graduate school.,-1,6.005019,12.844837,3
A corporation burns.,-1,8.541333,10.539829,4
Arnold will not plan a social interaction.,-1,6.000018,10.299915,3
A variola minor evacuates some feces from a tongue.,-1,5.807072,11.384282,5
A safety device doesn't hide a region.,-1,6.272044,10.241898,4
A pusher tug will match a grenade an anterior cerebral artery.,-1,6.994009,12.012246,6
A human child forgives a reel to a human child.,-1,5.380713,12.002711,4
A human adult was not pilotting a military aircraft.,-1,6.067965,10.998371,7
Three sheepdogs will nod a radial collateral artery.,-1,7.582105,14.244653,5
A human child was locating an animal shell.,-1,6.314316,8.863556,3
Zero amphibians will be suspiring a registered bond.,-1,7.918194,15.602211,5
A human child was helping Veronica.,-1,7.314127,9.771301,3
A warm blooded vertebrate will see a nasal bone.,-1,4.993352,8.806532,3
A human will not be voting.,-1,5.770499,8.325897,3
A warm blooded vertebrate isn't comprehending a jungle.,-1,5.184601,10.573545,3
A coccyx concealed some mussel.,-1,6.985314,13.953743,3
Some skimmed milk was boiling.,-1,5.677887,7.650125,3
A gastropod will be starving five gastropods.,-1,5.115926,10.828513,3
A human befriends a man.,-1,6.473832,8.646447,4
Who has not paid Adrian?,-1,7.409443,8.107821,3
Five human adults braked a merchant marine ship.,-1,6.584271,9.999588,5
Who is advertizing some parmesan cheese to null?,-1,6.327531,12.578827,3
A mammal was reexamining at a lung.,-1,5.777276,10.446017,3
Richard grew seven ferns.,-1,7.418579,9.452993,4
A human adult adjudicated 9 chapters.,-1,6.959104,11.928351,4
Seven human adults were choreographing an orchestral conducting.,-1,5.434758,9.571070,3
A cow wasn't burying a fox.,-1,5.454449,10.094324,3
Cindy will be spreading a computer network to a fire extinguisher.,-1,5.476320,10.152009,4
A woman will nod a game board.,-1,6.679894,8.018863,8
A vulture killed.,-1,6.198355,7.843418,2
Gary took from some conch null.,-1,8.504786,10.111742,8
A human doesn't advertise a single family residence to null.,-1,6.426957,11.568029,3
7 human children treat a chairman manual.,-1,9.131483,12.787323,8
Who is nodding a network adapter?,-1,5.927313,10.825880,3
A manufacturer wets some freshwater to 8 ounces of soup stock.,-1,6.055028,10.772685,10
A school protects a ships hull.,-1,6.665210,11.345959,3
Stephen will set a cucumber plant.,-1,7.133610,9.625973,3
A mine is firing.,-1,6.695008,11.008894,2
Oscar will be kicking 8 legs with a foot.,-1,5.227878,7.229720,5
A human adult is telephoning a human adult a mobile cell phone.,-1,4.616767,8.325897,3
A RNA virus will convert 4 legionellas for a guitar.,-1,7.153140,14.015187,7
9 latss were drilling the hole.,-1,7.424329,11.919226,5
Who was comparing an Independent Methodist church?,-1,7.084999,9.538792,6
A puppy will bury a deck cargo ship.,-1,7.151677,12.354360,4
An unit of volume doesn't decrease.,-1,6.439317,13.506077,2
Who will communicate with Laura?,-1,6.197546,10.077011,3
A human promotes some folacin to null.,-1,7.658962,11.498846,6
Phoebe will design a driving range.,-1,5.314966,8.263628,2
A human adult was planning a legal acquittal.,-1,6.159563,8.818724,5
Who stores a museum?,-1,7.007251,8.399908,4
Vivian will clean a mucosa.,-1,6.037736,9.359568,4
Six humans is not acting.,-1,7.755065,10.291939,6
A fly insect ducks to avoid a a pericardial sac.,-1,5.665196,9.860104,4
A crustacean wets some sea water to a seaweed.,-1,5.087289,9.801395,2
Eight human children were stealing a joint test from an ethnic group.,-1,6.373348,10.553289,3
A human adult is producing a demonstrating to a human adult.,-1,5.484085,8.325897,3
A man inherited a biped.,-1,6.361157,12.531336,3
A human baby is massaging a human baby.,-1,4.571022,8.325897,3
A bacterial agent is uncovering a vaccinia virus.,-1,5.060478,12.053914,3
A crustacean doesn't dream.,-1,4.822876,9.080811,2
Vincent shoots a grenade launcher.,-1,5.400206,10.147928,1
A nasal trumpet will be choking a yersinia pestis.,-1,5.430021,11.355866,4
A data transfer downloads a XML file.,-1,6.050056,9.047592,4
Some freshwater is diluting some saline solution.,-1,6.468451,10.894485,4
A human adult will not be nodding a projectile shell.,-1,6.598874,13.420508,5
Some biological agent is combining with some biopolymer.,-1,5.069983,9.451012,3
Who will xerox a right navicular bone?,-1,6.639754,11.597314,8
A reindeer will kick ten reindeers with a cotton fabric.,-1,5.484051,11.398939,4
Two staphylococcus aurei were killing a salmonella typhimurium.,-1,3.771585,11.562455,3
A human youth punches a protective eyewear.,-1,6.642995,11.797283,4
Elvis won't be referring a set of equations.,-1,5.571803,10.497737,3
Jed was impersonating.,-1,6.619452,6.701429,4
A human youth submitted some antibody to null.,-1,8.231340,11.797283,6
A human child will not be separating a non null set.,-1,6.450560,12.615438,6
An aquatic mammal doesn't imbibe 4.58 cups of coffee.,-1,4.663252,9.652147,3
A human child will be toying.,-1,6.403392,8.325897,4
Some semolina flour will burn.,-1,6.458233,7.650125,7
Duncan refers a finite set.,-1,7.252996,11.462061,5
A front desk is not leaving a parking lot.,-1,5.134885,9.214359,3
A man was smoking 3 worms.,-1,6.154606,10.175255,2
A posterior tibial artery will be firing.,-1,5.530219,10.241224,3
A Cedar tree mashed some blood plasma.,-1,8.287718,11.298366,8
A time dependent quantity will not fortify.,-1,6.160672,8.948851,5
An ethnic group takes a shimagh.,-1,6.685687,9.150365,4
A DNA virus doesn't relinquish a chromotin.,-1,5.920566,9.526396,5
A Crusaders union is assailing.,-1,7.409532,12.661328,6
A crustacean will be concealing some suet.,-1,5.310625,11.817321,2
Cinderalla pares an eyelid from a lateral superior genicular artery.,-1,5.692009,9.117769,7
A human immunizes Jim with a bumble bee.,-1,6.264457,14.647362,5
A human is planning an encoding.,-1,6.467642,9.345756,7
A book publisher doesn't sell some distilled alcoholic beverage a government cabinet.,-1,6.830720,10.523272,4
A sock was stretching.,-1,7.311204,10.737329,5
A human won't be nodding a left subclavian artery.,-1,5.238735,11.552086,3
3 human adults doesn't beckon with an engine choke.,-1,7.069844,13.480207,4
Some ice doesn't freeze.,-1,5.747791,9.041235,3
A domestic dog sells some conch a nonprofit organization.,-1,6.987594,12.020337,9
Some freshwater will cut some saline solution.,-1,7.432325,8.583685,7
A human adult was famishing a mammal.,-1,5.882342,8.325897,8
A human baby is reproducing a cotton.,-1,5.839855,10.171103,3
Christian votes.,-1,8.651241,9.400017,3
Some thiamine won't compound with some calcium chloride.,-1,5.369747,10.888638,3
A human won't be giving a coat to 9 human adults.,-1,5.461570,11.010401,4
A finger roughens a triquetral bone.,-1,5.712779,11.989426,4
A hospital organization was finding from a museum.,-1,6.810389,9.527595,6
A bed frame drills a mouth.,-1,7.349367,10.914057,4
A steeple shuts.,-1,6.380768,8.910486,3
Some freshwater isn't reducing some saline solution.,-1,7.583051,10.894485,4
A machine is bearing the hole.,-1,6.334652,10.192737,2
Some ice will freeze.,-1,6.600203,7.650125,5
A mosquito was attacking.,-1,6.891448,7.885985,5
A human child was presenting a video cassette to null.,-1,6.581086,10.289270,4
A human was communicating with Phil.,-1,6.529843,10.737313,4
9.920 grams of rock will crunch some salt.,-1,6.713106,11.886033,5
Agnes atrophied 9 right true rib 3 bones.,-1,6.673499,11.074447,6
A human child ties a head to a contact site.,-1,6.393211,12.391418,4
A vertebrate has not saw 9 kangaroos.,-1,5.827828,12.211300,6
Who will be creating an art museum?,-1,5.106911,7.757669,4
Brian was painting a river.,-1,6.363609,9.715466,3
Murphy was outraging Agatha.,-1,6.354987,11.739690,4
A man will pip nine mental branch arterys.,-1,8.964780,15.050821,9
A crustacean was spraying some soda.,-1,6.007765,11.677659,5
A human child vandalises 3 upper legs.,-1,6.883678,11.679125,4
A human baby is xeroxing an alveolus.,-1,4.756849,8.325897,6
A human youth stores 8.57 teus of potable water.,-1,5.630165,11.797283,6
Travis looked for a a measuring device.,-1,5.910662,10.099297,2
Who was not giving some bird egg to null?,-1,7.126878,11.138731,7
A Free Presbyterian church of Scotland is losing some viral genome.,-1,6.383680,11.447632,5
A water buffalo will duck to avoid a a rugby team.,-1,5.570889,9.886106,5
Who is exhibitting a maneuver to null?,-1,7.995628,13.184074,4
A human will imbibe 4.550 teus of coffee.,-1,5.924923,11.175678,4
A human was placing eight currency bills.,-1,6.947903,9.295767,6
A human adult buys a lower branches of the space anastomoses artery an afghan afghani coin.,-1,5.737474,10.368047,5
A human baby was interviewing Amselm.,-1,7.338890,9.064885,4
A human baby was bawling.,-1,4.874104,8.325897,3
Eight human children were not wading through a creek.,-1,5.441705,9.756697,3
Who will judge a sidewalk?,-1,6.201120,7.757669,5
Rachel will be fishing a skate.,-1,6.855116,10.303604,4
Bunny designates a man to accomplish a scallop.,-1,5.965732,9.728497,4
A fuel pump doesn't immunize Josephine with a palmar carpal arch artery.,-1,5.998782,12.769383,3
Who lends an university to null?,-1,7.672628,11.166308,4
Seven warm blooded vertebrates observes at three warm blooded vertebrates.,-1,4.400757,10.234073,4
A human adult will be shooting some vitamin B5 into three hominids.,-1,5.620303,10.535745,4
Isabel recollects a medical science.,-1,5.880720,8.559382,4
A crocodile was perceiving a seaweed.,-1,5.406663,10.049805,2
A domestic animal will bury a toe.,-1,6.611636,10.129793,5
UNK_noun_2 refinances a mortgage.,-1,6.929488,14.316779,5
Annabel has not shot some signaling protein into null.,-1,7.794307,11.991592,11
A ladder was extending.,-1,7.073670,8.964481,5
Who is dodging a savanna?,-1,5.794164,11.834188,1
6 humans steals an abayah from a retail store.,-1,6.404463,13.156581,6
A pons will fall a cement carrier ship a lentil.,-1,6.557381,9.879725,11
A human adult is driving a commodore automobile.,-1,5.518169,10.600235,3
A care organization will protect a vagina.,-1,6.701269,10.545727,5
A human doesn't acquire from a feather a table.,-1,6.186951,9.155424,3
4 human children are not imbibing some semi skimmed milk.,-1,6.068539,11.406425,3
A human baby is locating an ICU.,-1,7.100533,11.349531,3
An arthropod will not be smelling with some cilantro.,-1,5.570514,12.206955,5
Bruce will get from 8 middle cerebral arterys null.,-1,7.065520,13.383957,4
A human child befriended a human child.,-1,4.581984,8.325897,4
Who was conveying with Alexander?,-1,7.493814,8.511513,5
2 viruss were protecting a virus part.,-1,7.097956,10.486869,8
A human child ties ten descriptors to a profile wall.,-1,7.441654,12.557284,6
A vaccinia virus exchanged some anti-parasitic for some hydrophobic lipid tail.,-1,5.180516,11.916515,4
A creek closes.,-1,7.711119,9.609378,4
An unit of length is strengthenning.,-1,7.467347,13.590902,4
A biological weapon will suffer a gun barrel a toxic organism.,-1,6.711310,9.947843,5
3.83 ton masss of boulder roughens a sculpture.,-1,6.340358,11.257243,4
A human child won't be tasting some yogurt.,-1,6.441590,9.336695,4
A human adult inherited a C3 vertebra bone.,-1,6.146560,9.815404,4
3 snakes are having a food from plant.,-1,6.245077,10.515066,4
A human is pushing a military organization to a human adult.,-1,5.729079,9.987737,4
A human advertises a teenager to a human child.,-1,5.414795,11.238477,3
A human isn't irrigating a chicken.,-1,5.511492,9.834923,3
Nine humans was voting.,-1,8.920291,10.505720,5
A human adult doesn't paint 13.7276 grams of barium.,-1,5.842526,10.188105,7
A human processes an art work.,-1,5.757299,8.325897,3
UNK_LAW_2 wrought.,-1,8.382435,14.316779,3
A Fellowship of independent evangelical churches will be uncovering an aquatic mammal.,-1,5.509285,11.670884,3
A human will be waving with an oat grass.,-1,6.270727,11.031863,5
Mitchell fished nine ornamental fishes.,-1,6.372364,10.690188,4
Who won't be playing?,-1,4.864674,5.740816,3
A clover plant doesn't starve a calf.,-1,4.975620,11.247743,2
A passenger and cargo ship suffers a contraceptive device a business center.,-1,6.372882,9.414657,5
Some processed milk doesn't hide a tube.,-1,7.002919,11.132649,4
A human will be inheritting a musical instrument.,-1,5.915496,9.388163,3
A human is imagining a windstorm.,-1,5.421324,8.347682,4
Shirley was pipping a hand gun.,-1,5.587122,7.595151,6
A human adult doesn't locate a river mouth.,-1,6.499382,10.483697,4
A tire shuted.,-1,8.579304,9.955751,5
3 left distal phalanx IV bones are extending.,-1,5.538661,10.533918,3
Caitlin will be outraging a human adult.,-1,5.791375,8.743472,5
A human child indicates a corpuscular object with a window.,-1,5.846928,10.466817,4
Alcyon plans a military assault.,-1,6.461560,9.178826,5
Derrick canvass a nation.,-1,6.947258,7.716420,3
9 human children stored a solarium.,-1,8.147258,10.473365,8
An involuntary muscle is firing.,-1,6.680644,10.691039,3
A human child has not smoked a recording tape.,-1,6.568521,11.003572,3
A biped pulled a C1 vertebra bone.,-1,5.342082,11.544571,2
A human child won't be breaking 6 ballots.,-1,6.534526,11.050358,5
A lower leg has not extended.,-1,5.893955,7.788541,6
Pauline isn't classifying a set of equations.,-1,5.156853,10.865847,3
A human child isn't tying a castanet to a sprinkler.,-1,5.231916,11.758368,4
A LAR unit wasn't trading a military platform with a military squad.,-1,6.544147,10.730978,5
An employer was not penalising an appeals court.,-1,5.910885,7.590101,3
A human adult will slice a hijab with a lesser palatine artery.,-1,5.610573,12.659998,5
Who finds a prison chapel?,-1,7.070975,9.696900,2
A closet shuts.,-1,8.278817,11.747866,4
A school was refinancing a mortgage.,-1,5.121485,7.783928,4
Who was mailing 8 letters?,-1,6.301734,7.757669,7
A human child won't be producing a livestock.,-1,6.267490,9.415774,4
A woman has not heard a vocalizing.,-1,5.995448,8.147778,6
A vertebrate watches at an elbow.,-1,6.586135,12.211300,2
A man pipped a rifle.,-1,6.725690,9.343271,4
A human child was watering a fictional text.,-1,7.093126,11.130230,3
Who is befriending three human youths?,-1,5.616490,10.089355,3
Some ice vaporises.,-1,7.679501,9.904516,4
Zero broccolis will divide from an organism.,-1,7.064007,10.599378,5
A human adult has not vandalised a woody plant.,-1,5.490849,11.185847,3
Cora ravished Mabel.,-1,6.535819,7.612882,5
A human will purchase a communication radio a computer memory.,-1,6.787663,8.479606,6
A human was xeroxing a toothbrush.,-1,5.376991,11.055876,4
Who has not dishonoured a human adult?,-1,5.099065,10.526128,2
Some biopolymer dissevers from a plant spinose structure.,-1,5.941293,11.338299,4
Alphonso was purchasing an organism remains a book store.,-1,6.958100,12.147898,5
Sam will reproduce some latte.,-1,7.674970,11.671477,5
A Baptist church doesn't share a poster a CYFA.,-1,6.588791,11.567830,5
Megan will be lending a LAR battalion to null.,-1,6.928661,13.274225,3
A right metatarsal 1 bone harms a bacillus anthracis.,-1,5.342266,13.156099,3
A temperature control fires.,-1,7.932537,9.780685,2
A human youth pours some skimmed milk into a strainer.,-1,4.708590,10.402699,6
A human adult will vandalise an Independent church.,-1,6.978208,12.363157,5
Three human children read a a motion picture.,-1,6.772956,10.285119,4
A human child slices a picture frame with a knife.,-1,4.649342,8.325897,4
A constant quantity strengthens.,-1,8.134309,9.167717,5
A human adult will not be befriending Ethel.,-1,5.720189,12.593088,5
A lamb will be jawing 6 reptiles.,-1,5.981114,12.573257,3
A warm blooded vertebrate isn't hearing a barking.,-1,4.999048,10.573545,3
A Union of evangelical churches unveils a seabed area.,-1,6.254570,14.294284,2
A human child slited an organism remains with a blade.,-1,6.377384,9.945018,9
Monica was not searching for a some receptor protein.,-1,6.118195,12.567781,3
Arnold is not vandalizing a weapon.,-1,5.657714,10.909307,3
A human child will convey a desk to a doctrine.,-1,6.419671,11.121869,5
Some ice froze.,-1,7.986502,9.904516,4
A recording company sells some calamari an Airline.,-1,7.226210,10.953375,6
Lucas doesn't convey with Alec.,-1,6.419301,10.101192,3
A radio receiver was falling some FinishedLumber nine Joint Publications.,-1,8.997002,14.492847,13
Susan was analysing a musical instrument.,-1,5.586315,10.101236,3
A hoofed mammal doesn't dump an ivory.,-1,6.224198,11.625341,4
A human doesn't compare a charismatic church.,-1,6.849093,8.857231,5
A human photocopies a letter.,-1,5.607318,8.325897,4
10 human adults will be including a finite set.,-1,6.385669,11.163191,4
A human child will be wading through a river.,-1,4.331384,8.325897,4
A human baby conveys some receptor protein to a chromosome.,-1,5.784719,11.155101,4
2 human babys will be reproducing nine factual texts.,-1,7.721230,13.492884,4
A human adult will not be soldering some steel.,-1,6.195213,8.325897,5
A human won't be pouring some processed gaot milk into a fluid container.,-1,6.686062,12.045629,6
Some ice will not be boiling.,-1,6.481564,9.904516,4
A fish will be imbibing some distilled alcoholic beverage.,-1,5.188007,8.838800,3
A human child will not be shooting a revolver gun.,-1,5.568570,8.325897,4
A human will be examining at a superior laryngeal artery.,-1,4.793262,9.545639,3
A human child is questioning a human child.,-1,4.970027,8.325897,3
A precise destruction lubricates a drum brake.,-1,6.770276,11.280733,5
Seven paddy rices are not chilling an estuary.,-1,6.292760,9.571070,4
A knee was constricting an intermediate cuniform bone.,-1,6.756322,10.636659,5
A human borrows from a right IV metacarpal null.,-1,5.740978,11.504345,3
A human adult was shooting a hand gun.,-1,5.347982,8.325897,5
Lydia was soldering some steel.,-1,5.645658,10.127499,2
A human adult kicks a cove with a bullet.,-1,6.032352,9.185659,4
