sentence,avg_nll,p95,human_label
Some spice was harming a red oak tree.,6.742959,11.53425,2
A human child ties a fuel pump to a giardia lamblia.,4.616146,11.720731,1
A C6 vertebra bone will fire.,6.162967,8.029207,1
A long gun burns.,7.564835,9.421798,2
10 donkies ingest some couscous.,5.954473,10.060877,2
A chicken is not having a cashew nut.,4.647837,9.806258,2
An angel won't be subjecting some goat meat to a man.,5.733734,9.625092,2
A deity stored a traffic light.,7.55703,12.721821,2
A human child raised.,7.364327,8.325897,2
A deity is bearing an urethral artery.,6.294975,12.97233,2
A girl breaks.,7.051338,7.887135,-3
A man irrigates the fertile terrain.,6.012367,8.105639,2
A teenager vandalized a moka Pot.,5.948806,8.778252,-1
A forty eight foot container will be suffering a damper a catheter.,5.805752,11.48278,-1
A queen insect is dumping some arsine.,6.618942,10.592891,1
A boy will reproduce a rain forest.,6.353591,9.904769,1
A boy will steal a compartment from 2 mollusks.,5.19819,11.832968,1
A cucumber plant was pulling a skunk.,5.570946,10.442127,1
A Redwood tree will separate from a right intermediate phalanx II bone.,6.176933,11.064071,-2
A girl will be massaging seven boys.,5.739118,10.308184,2
8 girls doesn't solder some steel.,8.262814,13.305004,2
An inferior alveolar artery crunches a motor scooter.,5.890557,10.79358,-2
A ship crew doesn't mail a letter.,5.187678,8.751541,2
An ebola virus will not be drawing two oesophagi.,5.520687,10.591008,1
4 mice matched a television station a high precision weapon.,7.832638,10.882568,1
A boy was soldering some brass.,5.576817,7.969146,2
A snake will be considering at a rocket.,6.430447,10.958029,1
A woman created a sweet potato tuber.,5.369371,9.015686,1
A deity was writing a debit card.,6.236488,12.834475,2
A coffee plant doesn't egest some urine from a bronchial duct.,5.539559,10.821445,1
6 human babys showed a french franc coin with a mattress.,7.673662,12.664504,1
A human youth will produce a speaking to a woman.,6.112847,11.797283,1
A left femur won't radiate a water vehicle a heated pool.,6.432317,11.501824,-2
A virus will be revealing three succulents.,6.021126,11.729027,1
A human child designed some special purpose protein.,7.087407,8.850779,2
A human baby has not toyed.,6.027852,8.325897,2
A boy will be interviewing a human child.,5.507239,7.969146,2
A teenager plans an artifact mediated communication.,8.115094,13.68711,1
A human youth loans some softwood to 6 human adults.,5.903891,11.797283,2
A human youth will wade through an estuary.,5.18601,9.894958,2
6 toads buries.,7.458011,9.306269,2
A customer support was not determining from a private school.,6.08871,8.514577,2
A teenager was not designing a triploid cell.,6.16194,8.647585,2
A nipah virus doesn't pull a posterior auricular artery.,5.313613,11.959223,2
A woman will be inheritting a tray.,6.402819,12.806799,2
Ten boys were envisaging a land subsidence.,6.490861,10.854479,2
A constrictor snake will be dreaming.,5.143825,9.210258,2
A cold blooded vertebrate was burying.,5.385092,10.007618,2
Zero instep bones were not precipitating ten correspondences a star network.,7.637465,12.977757,-1
6 human children has not choreographed a low pressure weather system.,6.543207,10.93434,1
A man is promoting 8 eye irides to a human child.,5.661072,10.532516,1
A coffee plant will be wetting some steam to a left proximal phalanx II bone.,5.65974,11.22151,-2
Ten dachshunds attack.,6.125718,10.069378,2
A boy will be ironning a form text.,7.113582,10.991496,-1
A vaccinia virion combines with 2 cervical arterys.,6.225158,12.13604,1
A sheep will be famishing six owls.,6.688406,12.709595,1
Who was treating a hotel villa?,7.299854,10.088476,2
A boy was pushing some watercolor paint to a teenager.,5.232694,8.346047,2
Ten boys were inheritting a rickettsia rickettsii.,4.867067,9.3631,1
A giardia lamblia was killing a clostridium perfringens.,2.965774,9.995082,2
A queen insect was not killing an intracellular mature virion vaccinia.,6.354022,12.224912,2
A teenager won't operate a human adult.,6.313671,9.606516,2
A human youth guided a woman.,6.867834,10.064661,2
A woman was understanding a financial bill.,6.1214,7.240565,2
Seven boys were tying a hemisphere to a pillow.,6.120795,12.445054,1
Who was planning a recovering from illness?,6.019431,10.122581,2
Seven human youths compares a Church of the nazarene.,6.253259,11.139349,2
A boy will not choreograph a restating.,5.83144,10.723585,1
A quail bird will not auction a paved runway.,6.251892,12.142572,2
A human youth was raping 10 women.,6.142449,11.382268,2
A girl plans an eating.,7.040138,7.939544,1
A goose is not spraying some one percent milk.,7.190587,12.218742,2
An angel bears a T3 Vertebra Bone.,6.444653,9.414877,2
A woman isn't producing an aborting to a human child.,5.498335,10.441265,1
5 human adults is reproducing six tajik somoni coins.,7.480229,14.148968,2
A hemorrhagic fever infects an Aegilops Speltoides.,4.000206,9.44903,2
Four men inoculated six teenagers with 10.68 ounces of vaccine.,5.220983,8.577231,2
A Baptist union of wales is famishing a hoofed mammal.,6.21755,13.741795,1
A woman was bombing.,6.631963,5.881077,2
Some rain will not freeze.,6.536182,9.149452,2
Four teenagers will interpret a license.,7.957758,11.298057,2
A girl is choking a human adult.,5.851623,7.939543,2
A goat is smelling with two noses.,5.4964,11.186412,-2
A bumble bee will be kicking an optical disc with 3 feet.,5.022409,8.765588,-2
A human child is understanding a currency bill.,6.425318,10.56411,2
An angel was pouring some rum into an oven.,5.552075,8.671881,2
Ten hoofed mammals will be attacking.,6.963595,10.320354,2
A boy treats a vacuum gauge.,6.477726,9.682036,2
Some durum wheat flour was working.,7.115616,12.309077,2
4 human children were planning a quitting.,7.635499,11.406425,2
A boy will be planting an Aspen tree.,5.151048,7.969146,2
A human youth was breaking.,7.392525,10.101326,1
A stock market has not protected a beets.,6.240735,9.438545,-1
Some beta blocker has not born the hole.,7.495953,11.598796,-1
A teenager advertizes 4 lunate bones to a human adult.,6.249519,11.027643,2
A human baby will give a refrigerated cargo ship to a teenager.,5.376821,8.546417,1
A human child will skin nine eyelids from a fox.,5.652354,9.400823,2
A human adult will purchase a sternum.,6.196252,8.325897,2
A deity was cleaning.,7.887026,10.904807,2
A human adult was breaking.,7.437191,8.325897,2
3 tunas kick a superficial temporal frontal branch artery with a foot.,7.351351,14.055433,-2
An union organization will be sharing an age group four poxviridaes.,6.697716,11.812375,1
A boy imagines a filter.,6.185041,9.339026,2
A public school was starving six sheeps.,6.62202,12.19149,2
A boy is befriending a human child.,4.536381,7.969146,2
A superficial temporal parietal branch artery will not be harming a bacterial agent.,5.429384,11.89185,1
A greater palatine artery was roughenning a pen.,6.03114,10.684915,-2
A human adult will be frying a shea nut.,5.634532,10.996406,2
A tuna will smell with a nose.,6.218227,7.856277,2
A boy will produce a pottery.,6.813302,10.144775,2
Nine primates will spray some processed milk.,7.610788,12.388415,2
A special operations forces sells a right intermediate phalanx V bone eight calves.,7.352529,12.81073,-2
Some neurotransmitter will not turn.,6.77389,7.924275,2
A boy will be communicating with a deity.,4.827661,8.665912,2
A right intermediate foot phalanx II bone burnt.,7.492,14.11282,2
An angel will not notice a car distribution system.,6.187286,8.354645,2
A deity reproduced a saline lock.,8.742902,13.035528,1
An antelope was relinquishing a vented chest seal.,5.85376,11.239704,-1
Evelyn will be singing a musical composition with a speaking loudly.,5.343552,9.644091,1
A boy won't be including a finite set.,5.732347,11.674387,2
A teenager was searching for a a vehicle window.,5.51753,9.886427,2
A military chapel will refinance a secured loan.,5.99331,9.989248,2
A fly insect converted a light truck for a distributor.,6.578098,10.840759,1
A woman will be massaging a girl.,5.015457,6.587476,2
Ten human children produces some petroleum lubricant.,8.036421,13.597705,2
A deity has not designed some fuel vapor.,7.4581,10.521888,2
A teenager is dishonorring 10 teenagers.,6.700439,14.790596,2
A man will dodge a badger.,5.952061,9.002019,2
An eye glass extended.,7.996429,8.57727,2
A deity ciphered an even integer.,7.459424,12.902519,2
A boy is not toying.,5.439317,7.969146,2
A teenager has not searched for a a vocal cords.,6.147424,12.138742,2
A teenager reckons an unit of length.,6.511089,11.034957,-1
A Bunny was kicking a walnut with a foot.,5.73258,11.452439,2
A woman is befriending a human child.,4.547617,7.658928,2
A mollusk won't be catching a computer.,5.551771,10.229348,2
A man will buy a baseball steal.,6.149545,9.774313,2
A domestic cat will harm 10 orchids.,5.784312,9.711057,2
A deity will be lending a six anterior intercostal branch artery to a human adult.,5.533318,12.902519,1
A rift valley fever will be infecting an elephant.,5.956662,10.313378,2
An angel advertises a blackboard to a boy.,4.812918,7.931018,1
A human child is recollecting an international agreement.,5.975918,10.363185,1
A game room is suffering a parrot a passport.,6.645559,11.394855,-1
Two human youths will vandalize a wire line.,6.854031,11.108269,2
A box has not supported a domestic animal a T9 Vertebra Bone.,6.702691,10.276063,1
A human baby plans a nodding.,6.752663,10.61458,1
3.75 liquor shots of freshwater was freezing.,7.779309,12.529169,2
A woody plant radiates a license a decaploid cell.,6.412914,12.483635,-1
A teenager is not aviating an airplane.,5.481018,8.064207,2
A teenager shot some azulfidine into a mule.,6.125658,11.431842,2
A human youth reproduces an air conditioning compressor.,5.956894,11.122592,2
A teenager will resolve a question.,6.496846,8.064207,2
Three women strangled a girl.,5.479928,8.085855,2
A human youth is transforming a Christmas day.,6.618481,8.734351,-2
A wind surfing board burns.,7.59492,9.781574,2
A human child compared a media organization.,7.656664,9.679223,2
A teenager pips a chain gun.,6.463467,9.825768,-1
Zero human youths are purchasing a label.,8.471152,11.682474,1
A C.V. joint will gain.,7.122476,9.851615,-1
Who will bombard?,7.505983,7.757669,2
A girl solders some brass.,6.206743,8.161546,2
Eight corynebacterium diphtheriaes were eating some salmon meat.,4.788303,11.081056,2
A girl takes a light truck.,5.997491,8.37208,2
A heel bone will be harming a progeny vaccinia virus immature.,7.166261,14.12515,-1
A boy isn't detecting a strictness attribute.,6.703358,11.576595,2
A woman discovers a profession.,5.695029,7.292506,2
A saxophone runs.,6.672418,9.631236,2
An alligator kills a junin virus.,6.238491,7.747927,1
A sheepdog will not drink some whiskey.,5.883456,8.352241,2
A human baby assorts a set of equations.,5.869204,8.801691,2
A man will press a vertebra bone.,5.580085,11.259884,2
A human youth will not give an ergometer to a human adult.,5.046737,11.114723,2
A mollusk smells with 2 noses.,5.33548,11.724479,1
A butterfly is not respiring 1.412 cups of greenhouse gas.,5.783044,12.524875,1
An angel will advertize a road junction to a woman.,5.763545,8.091101,2
A teenager ironed some thyroxine.,6.512693,14.124382,1
A human youth destined a political pressure group to accomplish an ulcerative colitis.,6.119855,11.797283,1
A woman buys a position.,5.754922,7.212381,2
An anti-vaxxer takes a barricade.,4.225161,6.652778,2
A teenager has not peeled an eyelid from a yellow fever virus.,5.36327,8.477726,1
Ten cattles are kicking some alcoholic beverage with a foot.,6.688354,11.338036,2
An ascending aorta radiates a wheel chock a spinal cord.,5.755386,10.924038,-1
A pigeon sprays some aperitif.,5.219641,11.150325,-2
Rita doesn't intercommunicate with a deity.,5.10685,9.865126,2
An Aegilops Tauschii refinanced a single payment loan.,4.648454,7.455922,-2
A teenager will refer a finite set.,6.514007,10.209488,2
A human baby is imagining some thyroid stimulating hormone.,6.437694,14.120938,2
A lamb isn't taking some Coca_Cola.,7.228546,13.025204,2
A teenager was irrigating the fertile terrain.,6.267425,9.588566,2
A teenager broke.,7.973172,8.064207,2
Some bupropion will shut.,6.004558,8.573206,-1
A human adult produced a temperature falling (experienced as feeling cold) to a human baby.,4.946734,8.325897,1
A human child doesn't disburse a human child.,5.034492,8.325897,1
A smoking pipe doesn't drill the hole.,5.507458,10.988234,2
5 human adults doesn't find 7 spinal columns.,6.807641,11.739909,2
A human child is not bombing.,6.828587,8.325897,2
An airbag inflated with some greenhouse gas.,5.545055,6.982145,-1
A sports team will be refinancing a balloon loan.,4.986048,8.05406,2
18.737 ounces of ground water is diluting some antifreeze.,5.599127,12.095418,2
A human child chokes a human adult.,4.820441,8.325897,2
A herpes virus uncovers a putting green.,6.237896,12.94717,-1
An airbag inflates with some greenhouse gas.,4.78293,6.373613,-1
A pig is not drawing some unnildecium.,6.443546,12.815249,1
A delta variant is selling some asbestos an unincorporated united states territory.,6.073645,11.751151,-1
An angel was not seeking for a a surfboard.,5.744992,9.186256,2
A teenager doesn't ideate a prairie.,5.929461,9.310434,2
Nine cattles are kicking some anti-parasitic with a foot.,5.963932,10.2705,1
A Missionskyrkan has not squeezed a face.,6.731216,13.00636,-2
A periodical publisher was determining from a day school.,7.040109,10.012543,-1
An angel is analyzing some thulium.,6.185147,10.78642,1
An angel destined a police organization to accomplish an achieving control.,7.577375,11.122972,-1
A girl was presenting a growth stock.,6.275556,9.859574,2
Who is comprehending a written language?,5.045589,7.757669,2
A guinea pig will be spraying some vodka.,5.516838,10.89058,-2
An infantry company is translating 5 announcements into a harakmbet language.,5.820609,13.049398,2
A man doesn't shoot some marijuana into a vulture.,5.491773,8.71427,1
A hoofed mammal won't be smelling with a nose.,5.195513,13.693706,2
A human adult pares an eyelid from a dachshund.,4.142511,8.325897,1
Who will be searching for a a condominium building?,5.32678,9.070077,1
A mammal imbibes some whole milk.,4.749774,10.446017,2
A hepatitis doesn't infect a butterfly.,6.3989,11.925068,2
A man will not ideate a shotgun slug.,6.143904,10.855709,1
A girl grew a goose.,6.307656,7.97803,1
A coral is not kicking a pot or pan with a foot.,5.70899,11.421388,1
7 human children ideated an emailing.,8.654125,12.618314,2
A human child determines a question.,6.323657,8.325897,2
A teenager canvass a canal lock.,6.767095,9.152534,1
5 boys are massaging a human adult.,6.168396,11.406939,2
A boy sees an united states cent coin.,6.00871,8.271881,2
A woman impersonates.,6.879845,10.542142,2
An Independent church will not be refinancing a day loan.,5.773548,10.033851,2
A human adult isn't inheritting a pear fruit.,7.10245,11.182648,2
A butterfly will be spraying some processed gaot milk.,8.006641,13.113973,-2
8 streptococcus As won't be forcing an insect.,6.54618,15.008987,-2
A human adult loaned a ship crew to a girl.,5.848895,9.784426,2
A deity seted a question.,7.516245,12.342883,-3
A woman rings a boy a cordless telephone.,5.200986,9.440159,2
An anterior tibial artery won't precipitate a perforating branch to the posterior tibial artery an intestinal artery.,3.785027,11.805633,-1
A teenager is sitting a boy to a an auditorium seat.,5.48527,9.019345,2
A llama will add a liquefied gas tanker ship.,5.611072,12.643508,-2
Winston uploads a web site.,6.17917,7.129347,2
A data saving doesn't download a computer report.,6.390179,9.292504,2
A Triticum urartu was protecting an artery of bulb of penis.,5.379978,11.044317,-3
A deity doesn't treat a canal structure.,7.240206,12.902519,1
9 girls are choking a boy.,5.990206,10.371875,2
A girl retrieves a cocktail menu.,6.924872,10.065344,2
A boy doesn't bring a safe container to some chlorpheniramine.,5.38355,9.866997,-1
A teenager will point a submental artery with a leather.,6.403435,10.881741,-1
A human baby plays.,6.918795,8.226064,2
A human adult is giving a file path to a deity.,5.552216,10.392567,1
An ornamental fish was nodding a head.,5.306607,8.286722,1
Some hailstone vaporises into a mouth.,6.98701,10.494571,1
A kangaroo was passing some feces from 4 adrenal glands.,5.689413,11.773975,-1
Who will be burying?,5.442478,7.757669,2
Ronald was giving a limb to a teenager.,5.303943,9.7229,2
A cloak brays an abayah.,7.268644,11.192537,-1
Two men aren't storing a plant branch.,6.874626,11.485682,2
A girl writes a purchase order number.,5.324774,7.939543,2
A shrimp will be selling some anti-inflammatory an ovrigt.,7.051614,11.613481,-2
A rift valley fever is infecting an oat grass.,6.351025,11.419252,2
A lamb is adding an accompanying artery of ischiadic nerve.,6.290437,12.008088,-2
A hospital building smooths some famotidine.,7.183038,14.010675,-1
An Anglican church will take 5 SARSCoV1s.,5.551637,9.322742,2
A human child is not violating 7 human youths.,6.661831,13.057108,2
Seven teenagers are reading a an invoice.,7.35622,10.706326,2
A deity analyzes a radicchio.,6.888352,12.902519,2
A teenager will take from a pocket four girls.,5.985057,8.064207,-3
A turtle sprays some milk foam.,6.207843,9.672821,-2
A human youth was discovering a portable computer to a 4 by 4 tire.,5.322176,11.797283,2
A commission fires.,8.575196,10.148218,1
A human youth is ironning some chemical base.,7.7197,11.797283,-1
Seven women were treating an oxygen sensor.,6.846476,9.57107,1
A human youth doesn't beckon with a hand.,5.39789,11.797283,2
A spear will be concealing a laptop.,5.984757,12.977551,-1
A producer price index strengthens.,6.071372,10.99118,2
A coccidioides immitis will not kill.,3.787729,8.224464,1
A constrictor snake adds a bed linen.,5.141402,9.044331,-3
A hospital organization protects a communications satellite.,6.728833,9.566671,1
A rattlesnake was killing a toxic organism.,4.85488,11.695214,1
Who will inherit a virus part?,6.398066,10.114262,1
8 bipeds consider at a gastropod.,6.205154,11.12194,1
Who will not dishonour a human child?,5.10754,7.757669,2
A human has not reproduced a Facility.,6.881868,9.769118,2
A human child is not searching for a some connective tissue.,5.405142,12.022827,2
Hamish stole a facial hair from a publisher.,6.181303,12.288332,-1
Edmund will be driving a powered vehicle.,5.232517,8.8035,2
A human was inheritting ten rib cages.,7.911176,9.16273,1
A worm has not ate a food from plant.,5.515194,9.912105,1
A human adult will be voting.,6.450832,8.325897,2
A poultry will translate a motion picture into a gallo iberian language.,5.80384,11.451587,-2
A pig will not sell some cocoa bean a geopolitical area.,7.286023,10.478317,-2
7 human adults were disbursing a human adult.,5.692392,10.957922,-1
8 humans damages a military force.,7.971673,13.020929,2
A cerebellar artery isn't firing.,5.640772,10.721142,-2
A cub ate some seafood.,7.398297,10.902128,2
A human adult was giving a hominid to a human adult.,4.235298,8.430203,1
A human stole a Naval Air Force from a graduate school.,6.005019,12.844837,-3
A corporation burns.,8.541333,10.539829,-1
Arnold will not plan a social interaction.,6.000018,10.299915,2
A variola minor evacuates some feces from a tongue.,5.807072,11.384282,-3
A safety device doesn't hide a region.,6.272044,10.241898,-1
A pusher tug will match a grenade an anterior cerebral artery.,6.994009,12.012246,-3
A human child forgives a reel to a human child.,5.380713,12.002711,-1
A human adult was not pilotting a military aircraft.,6.067965,10.998371,2
Three sheepdogs will nod a radial collateral artery.,7.582105,14.244653,-1
A human child was locating an animal shell.,6.314316,8.863556,2
Zero amphibians will be suspiring a registered bond.,7.918194,15.602211,-1
A human child was helping Veronica.,7.314127,9.771301,2
A warm blooded vertebrate will see a nasal bone.,4.993352,8.806532,2
A human will not be voting.,5.770499,8.325897,2
A warm blooded vertebrate isn't comprehending a jungle.,5.184601,10.573545,2
A coccyx concealed some mussel.,6.985314,13.953743,-1
Some skimmed milk was boiling.,5.677887,7.650125,2
A gastropod will be starving five gastropods.,5.115926,10.828513,1
A human befriends a man.,6.473832,8.646447,2
Who has not paid Adrian?,7.409443,8.107821,2
Five human adults braked a merchant marine ship.,6.584271,9.999588,2
A mammal was reexamining at a lung.,5.777276,10.446017,1
Richard grew seven ferns.,7.418579,9.452993,2
A human adult adjudicated 9 chapters.,6.959104,11.928351,-1
Seven human adults were choreographing an orchestral conducting.,5.434758,9.57107,1
A cow wasn't burying a fox.,5.454449,10.094324,2
Cindy will be spreading a computer network to a fire extinguisher.,5.47632,10.152009,-3
A woman will nod a game board.,6.679894,8.018863,-1
A vulture killed.,6.198355,7.843418,2
7 human children treat a chairman manual.,9.131483,12.787323,-1
Who is nodding a network adapter?,5.927313,10.82588,-1
A manufacturer wets some freshwater to 8 ounces of soup stock.,6.055028,10.772685,-3
A school protects a ships hull.,6.66521,11.345959,2
Stephen will set a cucumber plant.,7.13361,9.625973,2
A mine is firing.,6.695008,11.008894,2
Oscar will be kicking 8 legs with a foot.,5.227878,7.22972,2
A human adult is telephoning a human adult a mobile cell phone.,4.616767,8.325897,1
A RNA virus will convert 4 legionellas for a guitar.,7.15314,14.015187,-3
9 latss were drilling the hole.,7.424329,11.919226,1
Who was comparing an Independent Methodist church?,7.084999,9.538792,1
A puppy will bury a deck cargo ship.,7.151677,12.35436,1
An unit of volume doesn't decrease.,6.439317,13.506077,2
Who will communicate with Laura?,6.197546,10.077011,2
Phoebe will design a driving range.,5.314966,8.263628,2
A human adult was planning a legal acquittal.,6.159563,8.818724,2
Who stores a museum?,7.007251,8.399908,1
Vivian will clean a mucosa.,6.037736,9.359568,1
Six humans is not acting.,7.755065,10.291939,1
A fly insect ducks to avoid a a pericardial sac.,5.665196,9.860104,1
A crustacean wets some sea water to a seaweed.,5.087289,9.801395,-1
Eight human children were stealing a joint test from an ethnic group.,6.373348,10.553289,2
A human adult is producing a demonstrating to a human adult.,5.484085,8.325897,1
A man inherited a biped.,6.361157,12.531336,2
A human baby is massaging a human baby.,4.571022,8.325897,2
A bacterial agent is uncovering a vaccinia virus.,5.060478,12.053914,-2
A crustacean doesn't dream.,4.822876,9.080811,2
Vincent shoots a grenade launcher.,5.400206,10.147928,2
A nasal trumpet will be choking a yersinia pestis.,5.430021,11.355866,-3
A data transfer downloads a XML file.,6.050056,9.047592,1
Some freshwater is diluting some saline solution.,6.468451,10.894485,2
A human adult will not be nodding a projectile shell.,6.598874,13.420508,-1
Some biological agent is combining with some biopolymer.,5.069983,9.451012,2
Who will xerox a right navicular bone?,6.639754,11.597314,1
A reindeer will kick ten reindeers with a cotton fabric.,5.484051,11.398939,-3
Two staphylococcus aurei were killing a salmonella typhimurium.,3.771585,11.562455,2
A human youth punches a protective eyewear.,6.642995,11.797283,2
Elvis won't be referring a set of equations.,5.571803,10.497737,2
Jed was impersonating.,6.619452,6.701429,2
An aquatic mammal doesn't imbibe 4.58 cups of coffee.,4.663252,9.652147,2
A human child will be toying.,6.403392,8.325897,-3
Some semolina flour will burn.,6.458233,7.650125,2
A front desk is not leaving a parking lot.,5.134885,9.214359,-2
A man was smoking 3 worms.,6.154606,10.175255,1
A posterior tibial artery will be firing.,5.530219,10.241224,-2
A Cedar tree mashed some blood plasma.,8.287718,11.298366,1
An ethnic group takes a shimagh.,6.685687,9.150365,2
A DNA virus doesn't relinquish a chromotin.,5.920566,9.526396,-1
A Crusaders union is assailing.,7.409532,12.661328,-1
A crustacean will be concealing some suet.,5.310625,11.817321,1
Cinderalla pares an eyelid from a lateral superior genicular artery.,5.692009,9.117769,-1
A human immunizes Jim with a bumble bee.,6.264457,14.647362,1
A human is planning an encoding.,6.467642,9.345756,1
A book publisher doesn't sell some distilled alcoholic beverage a government cabinet.,6.83072,10.523272,-3
A sock was stretching.,7.311204,10.737329,2
A human won't be nodding a left subclavian artery.,5.238735,11.552086,-1
3 human adults doesn't beckon with an engine choke.,7.069844,13.480207,-3
Some ice doesn't freeze.,5.747791,9.041235,2
A domestic dog sells some conch a nonprofit organization.,6.987594,12.020337,-1
Some freshwater will cut some saline solution.,7.432325,8.583685,1
A human adult was famishing a mammal.,5.882342,8.325897,1
A human baby is reproducing a cotton.,5.839855,10.171103,-1
Christian votes.,8.651241,9.400017,2
Some thiamine won't compound with some calcium chloride.,5.369747,10.888638,1
A human won't be giving a coat to 9 human adults.,5.46157,11.010401,1
A finger roughens a triquetral bone.,5.712779,11.989426,1
A hospital organization was finding from a museum.,6.810389,9.527595,-1
A bed frame drills a mouth.,7.349367,10.914057,-2
A steeple shuts.,6.380768,8.910486,1
Some freshwater isn't reducing some saline solution.,7.583051,10.894485,1
A machine is bearing the hole.,6.334652,10.192737,1
Some ice will freeze.,6.600203,7.650125,2
A mosquito was attacking.,6.891448,7.885985,2
A human was communicating with Phil.,6.529843,10.737313,2
9.920 grams of rock will crunch some salt.,6.713106,11.886033,1
Agnes atrophied 9 right true rib 3 bones.,6.673499,11.074447,-3
A human child ties a head to a contact site.,6.393211,12.391418,1
A vertebrate has not saw 9 kangaroos.,5.827828,12.2113,1
Who will be creating an art museum?,5.106911,7.757669,2
Brian was painting a river.,6.363609,9.715466,2
Murphy was outraging Agatha.,6.354987,11.73969,2
A man will pip nine mental branch arterys.,8.96478,15.050821,1
A crustacean was spraying some soda.,6.007765,11.677659,1
A human child vandalises 3 upper legs.,6.883678,11.679125,1
A human baby is xeroxing an alveolus.,4.756849,8.325897,1
A human youth stores 8.57 teus of potable water.,5.630165,11.797283,2
Travis looked for a a measuring device.,5.910662,10.099297,2
A Free Presbyterian church of Scotland is losing some viral genome.,6.38368,11.447632,1
A water buffalo will duck to avoid a a rugby team.,5.570889,9.886106,1
A human will imbibe 4.550 teus of coffee.,5.924923,11.175678,1
A human was placing eight currency bills.,6.947903,9.295767,2
A human adult buys a lower branches of the space anastomoses artery an afghan afghani coin.,5.737474,10.368047,-1
A human baby was interviewing Amselm.,7.33889,9.064885,2
A human baby was bawling.,4.874104,8.325897,2
Eight human children were not wading through a creek.,5.441705,9.756697,2
Who will judge a sidewalk?,6.20112,7.757669,2
Rachel will be fishing a skate.,6.855116,10.303604,1
Bunny designates a man to accomplish a scallop.,5.965732,9.728497,-3
A fuel pump doesn't immunize Josephine with a palmar carpal arch artery.,5.998782,12.769383,-2
Seven warm blooded vertebrates observes at three warm blooded vertebrates.,4.400757,10.234073,1
A human adult will be shooting some vitamin B5 into three hominids.,5.620303,10.535745,1
Isabel recollects a medical science.,5.88072,8.559382,1
A crocodile was perceiving a seaweed.,5.406663,10.049805,1
A domestic animal will bury a toe.,6.611636,10.129793,1
A ladder was extending.,7.07367,8.964481,2
Who is dodging a savanna?,5.794164,11.834188,-1
6 humans steals an abayah from a retail store.,6.404463,13.156581,1
A pons will fall a cement carrier ship a lentil.,6.557381,9.879725,-3
A human adult is driving a commodore automobile.,5.518169,10.600235,2
A care organization will protect a vagina.,6.701269,10.545727,2
A human doesn't acquire from a feather a table.,6.186951,9.155424,1
4 human children are not imbibing some semi skimmed milk.,6.068539,11.406425,2
A human baby is locating an ICU.,7.100533,11.349531,-1
An arthropod will not be smelling with some cilantro.,5.570514,12.206955,1
A human child befriended a human child.,4.581984,8.325897,2
Who was conveying with Alexander?,7.493814,8.511513,1
2 viruss were protecting a virus part.,7.097956,10.486869,1
A vaccinia virus exchanged some anti-parasitic for some hydrophobic lipid tail.,5.180516,11.916515,-3
A creek closes.,7.711119,9.609378,2
A biological weapon will suffer a gun barrel a toxic organism.,6.71131,9.947843,-3
3.83 ton masss of boulder roughens a sculpture.,6.340358,11.257243,1
A human child won't be tasting some yogurt.,6.44159,9.336695,2
A human adult inherited a C3 vertebra bone.,6.14656,9.815404,1
3 snakes are having a food from plant.,6.245077,10.515066,1
A human is pushing a military organization to a human adult.,5.729079,9.987737,1
A human advertises a teenager to a human child.,5.414795,11.238477,-1
A human isn't irrigating a chicken.,5.511492,9.834923,1
Nine humans was voting.,8.920291,10.50572,1
A human adult doesn't paint 13.7276 grams of barium.,5.842526,10.188105,1
A human processes an art work.,5.757299,8.325897,2
A Fellowship of independent evangelical churches will be uncovering an aquatic mammal.,5.509285,11.670884,1
A human will be waving with an oat grass.,6.270727,11.031863,2
Mitchell fished nine ornamental fishes.,6.372364,10.690188,1
Who won't be playing?,4.864674,5.740816,2
A clover plant doesn't starve a calf.,4.97562,11.247743,2
A passenger and cargo ship suffers a contraceptive device a business center.,6.372882,9.414657,-3
Some processed milk doesn't hide a tube.,7.002919,11.132649,1
A human will be inheritting a musical instrument.,5.915496,9.388163,2
A human is imagining a windstorm.,5.421324,8.347682,2
Shirley was pipping a hand gun.,5.587122,7.595151,2
A human adult doesn't locate a river mouth.,6.499382,10.483697,2
A tire shuted.,8.579304,9.955751,-3
3 left distal phalanx IV bones are extending.,5.538661,10.533918,2
Caitlin will be outraging a human adult.,5.791375,8.743472,1
A human child indicates a corpuscular object with a window.,5.846928,10.466817,-3
Alcyon plans a military assault.,6.46156,9.178826,2
Derrick canvass a nation.,6.947258,7.71642,2
9 human children stored a solarium.,8.147258,10.473365,1
An involuntary muscle is firing.,6.680644,10.691039,2
A human child has not smoked a recording tape.,6.568521,11.003572,2
A biped pulled a C1 vertebra bone.,5.342082,11.544571,1
A human child won't be breaking 6 ballots.,6.534526,11.050358,2
A lower leg has not extended.,5.893955,7.788541,2
Pauline isn't classifying a set of equations.,5.156853,10.865847,2
A human child isn't tying a castanet to a sprinkler.,5.231916,11.758368,2
A LAR unit wasn't trading a military platform with a military squad.,6.544147,10.730978,2
An employer was not penalising an appeals court.,5.910885,7.590101,2
A human adult will slice a hijab with a lesser palatine artery.,5.610573,12.659998,-3
Who finds a prison chapel?,7.070975,9.6969,2
A closet shuts.,8.278817,11.747866,2
A school was refinancing a mortgage.,5.121485,7.783928,2
Who was mailing 8 letters?,6.301734,7.757669,2
