sentence,n_tokens,avg_nll,p95,p99,max_surp,spike_frac_35,spike_frac_50,run_norm_35,uniq_token_ratio,rep_1gram,rep_2gram,top1_prob_mean,top1_minus_true_mean,punct_ratio,digit_ratio,upper_ratio,paren_imbalance_abs,bracket_imbalance_abs,human_label
Five humans is creating a power source.,8,7.030151,9.257812,9.257812,10.914062,0.875,0.75,0.5,1,0,0,0.193726,0.139648,0.025641,0,0.025641,0,0,2
Ten botanical trees were sharing a descriptor a port city.,11,7.984375,13.773438,13.773438,13.929688,0.818182,0.636364,0.454545,0.909091,0,0,0.167969,0.142578,0.017241,0,0.017241,0,0,-3
A hominid is nodding a paystub.,11,5.955655,11.679688,11.679688,16.46875,0.636364,0.454545,0.272727,1,0,0,0.275879,0.14209,0.032258,0,0.032258,0,0,-1
Some methanol won't poison zero genetically engineered organisms.,11,6.645197,12.257812,12.257812,14.140625,0.545455,0.545455,0.272727,1,0,0,0.254395,0.173462,0.030769,0,0.015385,0,0,1
A cinema is supporting a bust an abdomen.,9,7.612196,11.703125,11.703125,12.273438,0.777778,0.555556,0.444444,1,0,0,0.192139,0.151001,0.02439,0,0.02439,0,0,-2
Some water cloud will not be frosting.,8,7.034546,12.070312,12.070312,12.195312,0.75,0.75,0.625,1,0,0,0.148071,0.115662,0.026316,0,0.026316,0,0,2
A biped was finding from a medical school.,10,5.984863,9.492188,9.492188,11.546875,0.7,0.6,0.3,1,0,0,0.247314,0.187012,0.02381,0,0.02381,0,0,-3
Jed will study a dorsal artery of clitoris.,11,6.079179,11.140625,11.140625,13.484375,0.636364,0.545455,0.363636,1,0,0,0.269043,0.169678,0.023256,0,0.023256,0,0,2
A corynebacterium diphtheriae shared some feces a Fellowship of churches of Christ.,22,4.212405,11.273438,11.726562,15.664062,0.409091,0.363636,0.136364,0.954545,0,0,0.405029,0.095947,0.012048,0,0.036145,0,0,-3
A human child raises.,5,6.945312,7.609375,7.609375,8.328125,1,0.8,1,1,0,0,0.223022,0.220337,0.047619,0,0.047619,0,0,2
Some ice will be vaporising into a shore area.,11,6.285955,13.09375,13.09375,13.507812,0.727273,0.545455,0.272727,1,0,0,0.27832,0.231934,0.021739,0,0.021739,0,0,2
A human gives a pay check to null.,9,6.690077,11.804688,11.804688,16.421875,0.777778,0.444444,0.333333,1,0,0,0.364502,0.242676,0.029412,0,0.029412,0,0,-3
A human canvass eight dining guides.,8,7.76178,12.445312,12.445312,12.609375,0.875,0.625,0.5,1,0,0,0.277588,0.161987,0.027778,0,0.027778,0,0,1
A mass measure minifies.,6,8.334635,11.398438,11.398438,13.65625,1,0.833333,1,1,0,0,0.255371,0.252686,0.041667,0,0.041667,0,0,2
A human finds a propositional attitude.,8,6.277954,10.234375,10.234375,14.476562,0.625,0.5,0.375,1,0,0,0.178589,0.124573,0.025641,0,0.025641,0,0,-2
A human adult vandalizes a certificate.,8,7.061584,12.28125,12.28125,17.59375,0.75,0.5,0.5,1,0,0,0.241699,0.149414,0.025641,0,0.025641,0,0,2
A spring matches a worm three canines.,9,7.109049,9.882812,9.882812,14.132812,0.777778,0.666667,0.444444,1,0,0,0.210205,0.174805,0.026316,0,0.026316,0,0,-3
Walter was searching for a an object.,9,5.08252,8.101562,8.101562,10.875,0.666667,0.555556,0.444444,1,0,0,0.247681,0.112915,0.027027,0,0.027027,0,0,1
An engineering component will compound with a gearbox.,9,6.948025,13.148438,13.148438,13.492188,0.777778,0.666667,0.666667,1,0,0,0.198975,0.143921,0.018519,0,0.018519,0,0,2
Ingrid will be outraging Alba.,9,6.394368,9.234375,9.234375,16.25,0.777778,0.555556,0.444444,1,0,0,0.202637,0.149658,0.033333,0,0.066667,0,0,2
A Facility will be firing.,6,7.106283,11.398438,11.398438,12.453125,0.833333,0.666667,0.5,1,0,0,0.207642,0.130371,0.038462,0,0.076923,0,0,2
A deer was hitting a device.,7,6.274414,10.34375,10.34375,10.367188,0.714286,0.571429,0.285714,1,0,0,0.180908,0.147339,0.035714,0,0.035714,0,0,2
A cow wasn't killing.,6,6.27889,8.953125,8.953125,10.09375,0.833333,0.666667,0.5,1,0,0,0.214844,0.143555,0.095238,0,0.047619,0,0,2
A human adult chose UNK_LOC_1.,10,7.329688,13.007812,13.007812,15.453125,0.7,0.5,0.7,1,0,0,0.202026,0.182739,0.1,0.033333,0.233333,0,0,-3
An unit of measure lessened.,7,6.582868,8.898438,8.898438,13.59375,0.714286,0.571429,0.428571,1,0,0,0.292969,0.266602,0.035714,0,0.035714,0,0,2
Six staphylococcus aurei won't kill a virus single stranded.,16,5.430745,12.15625,12.15625,12.601562,0.5,0.5,0.1875,1,0,0,0.366943,0.232422,0.033333,0,0.016667,0,0,2
Four humans chose seven medial femoral circumflex descending acetabular branch arterys.,17,6.170251,11.070312,11.070312,15.1875,0.764706,0.529412,0.352941,1,0,0,0.371094,0.167725,0.011494,0,0.011494,0,0,-3
A human has not purchased a sports ground a physical address.,12,6.074707,9.492188,9.492188,10.0625,0.833333,0.666667,0.416667,0.916667,0,0,0.202759,0.163574,0.016393,0,0.016393,0,0,2
Some gun powder fires.,5,7.669531,8.5625,8.5625,10.023438,1,0.8,1,1,0,0,0.175293,0.172852,0.045455,0,0.045455,0,0,2
Derek was farming 6 grass plants.,9,6.130425,9.171875,9.171875,10.835938,0.888889,0.666667,0.888889,1,0,0,0.161377,0.145386,0.030303,0.030303,0.030303,0,0,2
A Fellowship of churches of Christ compounds with 6.3640 atom grams of salt.,18,6.20931,12.976562,12.976562,17.109375,0.722222,0.555556,0.5,0.833333,0,0,0.204712,0.115906,0.026316,0.065789,0.039474,0,0,1
An unit of volume is strengthenning.,8,7.857178,13.59375,13.59375,17.078125,0.875,0.5,0.625,1,0,0,0.215088,0.193115,0.027778,0,0.027778,0,0,2
A human child compounds with some veal.,9,6.889214,11.507812,11.507812,15.140625,0.888889,0.555556,0.777778,1,0,0,0.223755,0.20166,0.025641,0,0.025641,0,0,1
Bridget waters a greater palatine artery.,11,5.540538,11.445312,11.445312,14.140625,0.545455,0.363636,0.363636,1,0,0,0.192017,0.08844,0.02439,0,0.02439,0,0,-2
Eight right distal phalanx III bones spray some milk foam.,14,6.458631,11.039062,11.039062,13.5,0.714286,0.642857,0.428571,1,0,0,0.32373,0.162354,0.017241,0,0.068966,0,0,-2
3 human adults will be irrigating 7 registered bonds.,12,6.431519,11.90625,11.90625,13.46875,0.666667,0.583333,0.333333,1,0,0,0.221069,0.134766,0.018868,0.037736,0,0,0,-2
A primate will imbibe 10.889 liters of liqueur.,15,5.076223,11.320312,11.320312,11.742188,0.6,0.333333,0.133333,0.933333,0,0,0.309326,0.118347,0.042553,0.106383,0.021277,0,0,1
A pelvic bone will contract a barley grass.,9,7.116753,12.648438,12.648438,14.03125,1,0.555556,1,1,0,0,0.159302,0.150879,0.023256,0,0.023256,0,0,-2
A calf kicked a voluntary muscle with a drum.,10,6.769434,11.953125,11.953125,12.585938,0.7,0.6,0.3,0.9,0,0,0.173584,0.131592,0.022222,0,0.022222,0,0,1
An aquatic mammal will choose some marijuana.,9,6.463197,9.65625,9.65625,11.914062,0.888889,0.777778,0.555556,1,0,0,0.278809,0.164429,0.022222,0,0.022222,0,0,1
A mosquito will not be killing a japanese encephalitis virus.,14,4.291244,11.085938,11.085938,12.6875,0.428571,0.357143,0.214286,1,0,0,0.38501,0.117554,0.016393,0,0.016393,0,0,2
Four hominids respires a hotel function room.,11,6.704812,11.296875,11.296875,12.007812,0.636364,0.545455,0.454545,1,0,0,0.232178,0.168457,0.022222,0,0.022222,0,0,-2
An elephant visits a land area to a lowland area.,12,4.811523,7.960938,7.960938,8.515625,0.666667,0.5,0.416667,0.833333,0,0,0.144531,0.08905,0.020408,0,0.020408,0,0,2
9 viruss will kill.,6,7.801758,8.429688,8.429688,13.390625,0.833333,0.833333,0.666667,1,0,0,0.222778,0.215088,0.052632,0.052632,0,0,0,1
A human is massaging a man.,8,5.197021,8.328125,8.328125,11.4375,0.75,0.25,0.5,1,0,0,0.228638,0.174316,0.037037,0,0.037037,0,0,2
Who will choreograph a performance?,7,4.92484,7.753906,7.753906,11.398438,0.714286,0.285714,0.428571,1,0,0,0.343262,0.192627,0.028571,0,0.028571,0,0,2
A human will be advertizing a Peterbilt to null.,12,6.362386,14.226562,14.226562,15.085938,0.666667,0.416667,0.25,1,0,0,0.235107,0.177002,0.020833,0,0.041667,0,0,-3
A human child was purchasing a forearm a confining.,11,6.991966,12.5625,12.5625,12.945312,0.727273,0.545455,0.272727,0.909091,0,0,0.183594,0.13562,0.019608,0,0.019608,0,0,-3
A human child is farming a kitten.,8,6.072144,8.328125,8.328125,14.429688,0.625,0.5,0.375,1,0,0,0.206055,0.144531,0.029412,0,0.029412,0,0,1
A man will be braking a truck trailer.,9,5.956814,7.253906,7.253906,16.109375,0.777778,0.555556,0.333333,1,0,0,0.179932,0.133911,0.026316,0,0.026316,0,0,2
Some vitamin K will chill 9 top news feeds.,11,7.372692,11.539062,11.539062,15.210938,0.818182,0.727273,0.636364,1,0,0,0.265869,0.257324,0.023256,0.023256,0.046512,0,0,-3
Ten humans reproduced an ape.,6,7.940104,11.632812,11.632812,12.0625,1,0.833333,1,1,0,0,0.148315,0.143555,0.034483,0,0.034483,0,0,-3
Some ice was freezing.,5,6.95625,8.046875,8.046875,9.90625,1,0.6,1,1,0,0,0.178345,0.174072,0.045455,0,0.045455,0,0,2
Sharon ideates a mental branch artery.,9,7.906684,12.007812,12.007812,16.03125,0.777778,0.666667,0.444444,1,0,0,0.145508,0.132935,0.026316,0,0.026316,0,0,1
A femur turned.,5,7.629297,11.40625,11.40625,12.304688,0.8,0.6,0.4,1,0,0,0.276611,0.258789,0.066667,0,0.066667,0,0,2
A clostridium perfringens won't be famishing eight cows.,17,4.713183,12.328125,12.328125,14.007812,0.470588,0.352941,0.235294,1,0,0,0.445312,0.13501,0.035714,0,0.017857,0,0,-2
2 humans wasn't performing.,6,7.783854,12.578125,12.578125,13.179688,0.833333,0.666667,0.5,1,0,0,0.259521,0.20166,0.074074,0.037037,0,0,0,1
6.767 teus of soup stock works.,10,7.789648,13.382812,13.382812,13.992188,0.9,0.6,0.8,0.9,0,0,0.177979,0.158569,0.064516,0.129032,0,0,0,1
A human adult is befriending Roger.,9,6.331516,11.34375,11.34375,15.445312,0.666667,0.444444,0.333333,1,0,0,0.374023,0.263184,0.028571,0,0.057143,0,0,2
A lip is precipitating a pulmonary artery a mouse.,11,6.584695,10.398438,10.398438,13.078125,0.818182,0.545455,0.454545,0.909091,0,0,0.275391,0.259277,0.02,0,0.02,0,0,-3
A man buys a circulus arteriosus major a stock index.,14,5.857697,10.3125,10.3125,14.40625,0.714286,0.642857,0.285714,0.928571,0,0,0.330811,0.142212,0.018868,0,0.018868,0,0,-3
A genetically engineered organism is exchanging some drug candidate for a cargo vehicle.,14,5.881557,11.3125,11.3125,15.4375,0.642857,0.428571,0.285714,1,0,0,0.267578,0.183472,0.011364,0,0.011364,0,0,-2
An eutelsat will divide from a hotel unit.,12,5.873532,8.414062,8.414062,10.648438,0.75,0.75,0.333333,1,0,0,0.273682,0.176025,0.02381,0,0.02381,0,0,1
A human adult voted.,5,7.652344,8.328125,8.328125,13.476562,1,0.6,1,1,0,0,0.158203,0.154053,0.05,0,0.05,0,0,2
A human adult will not be remembering a pension plan.,11,6.138849,12.25,12.25,13.617188,0.727273,0.454545,0.454545,1,0,0,0.155518,0.129028,0.018868,0,0.018868,0,0,2
Nine humans will act.,5,7.820312,10.265625,10.265625,10.5,1,0.8,1,1,0,0,0.26001,0.257812,0.047619,0,0.047619,0,0,2
A government will not be protecting a voting poll.,10,5.889648,9.132812,9.132812,10.515625,0.8,0.5,0.5,1,0,0,0.220703,0.170654,0.02,0,0.02,0,0,2
A calf drunk some whole milk.,7,6.740932,11.953125,11.953125,12.148438,0.714286,0.571429,0.714286,1,0,0,0.343506,0.220093,0.034483,0,0.034483,0,0,2
Some water is firing.,5,7.705469,8.242188,8.242188,14.664062,0.8,0.6,0.4,1,0,0,0.137817,0.128662,0.047619,0,0.047619,0,0,1
A man solders some brass.,7,5.948103,8.9375,8.9375,9.195312,1,0.571429,1,1,0,0,0.215698,0.207886,0.04,0,0.04,0,0,2
Valentine is voting.,5,6.676367,9.09375,9.09375,13.03125,0.8,0.6,0.6,1,0,0,0.30835,0.268311,0.05,0,0.05,0,0,2
An aquatic mammal determined from a post secondary school.,11,5.923901,11.46875,11.46875,12.25,0.727273,0.454545,0.272727,1,0,0,0.275635,0.165771,0.017241,0,0.017241,0,0,0
A human treats a hand tool.,7,6.694615,9.773438,9.773438,12.164062,0.714286,0.571429,0.428571,1,0,0,0.190308,0.131836,0.037037,0,0.037037,0,0,2
A donkey makes a left hepatic artery.,10,5.091284,10.484375,10.484375,15.210938,0.5,0.4,0.2,1,0,0,0.354492,0.152466,0.027027,0,0.027027,0,0,-2
A ship berth swops a climbing carabiner with an insurance company.,15,5.615496,10.3125,10.3125,11.125,0.666667,0.466667,0.6,1,0,0,0.253662,0.150391,0.015152,0,0.015152,0,0,-1
A human adult assisted UNK_PERSON_2.,10,7.697266,13.882812,13.882812,15.476562,0.8,0.5,0.7,1,0,0,0.14502,0.132202,0.083333,0.027778,0.277778,0,0,-3
A human produced a recording studio to null.,9,7.047743,10.335938,10.335938,12.695312,0.888889,0.666667,0.555556,1,0,0,0.254395,0.24292,0.022727,0,0.022727,0,0,-3
Oscar mailed 9 animal anatomical structures to a tray.,13,6.321101,12.960938,12.960938,15.773438,0.769231,0.461538,0.538462,1,0,0,0.181885,0.109802,0.018519,0.018519,0.018519,0,0,1
A hard disk drive won't run.,8,4.660095,8.210938,8.210938,10.296875,0.75,0.25,0.375,1,0,0,0.305908,0.167236,0.071429,0,0.035714,0,0,2
A customer support will be sharing a ship cabin a public.,12,6.440837,8.664062,8.664062,11.828125,0.833333,0.666667,0.416667,0.916667,0,0,0.141968,0.110229,0.017544,0,0.017544,0,0,0
A rattlesnake will be hunting a vertebrate.,12,4.292785,10.046875,10.046875,11.835938,0.5,0.25,0.25,1,0,0,0.390137,0.099121,0.023256,0,0.023256,0,0,2
A human wades through an ocean.,8,5.500183,8.328125,8.328125,10.09375,0.75,0.5,0.5,1,0,0,0.29834,0.210693,0.032258,0,0.032258,0,0,2
8 domestic cats are not wetting 14.6 cubic foots of rain to some soup stock.,21,5.760196,9.773438,9.773438,12.445312,0.761905,0.619048,0.333333,0.952381,0,0,0.23584,0.18457,0.026316,0.052632,0,0,0,0
A human adult voted.,5,7.652344,8.328125,8.328125,13.476562,1,0.6,1,1,0,0,0.158203,0.154053,0.05,0,0.05,0,0,2
Carol will be studying a chromosome.,7,6.442941,10.367188,10.367188,11.460938,0.857143,0.571429,0.571429,1,0,0,0.202393,0.130127,0.027778,0,0.027778,0,0,2
A coral reef is closing.,6,5.952067,11.421875,11.421875,13.820312,0.666667,0.333333,0.333333,1,0,0,0.366455,0.230957,0.041667,0,0.041667,0,0,1
An index doesn't strengthen.,6,7.038981,9.351562,9.351562,11.734375,0.833333,0.833333,0.5,1,0,0,0.268311,0.187012,0.071429,0,0.035714,0,0,0
Denis was examining at a reproductive body.,9,6.245443,10.765625,10.765625,11.335938,0.666667,0.666667,0.333333,1,0,0,0.206787,0.1698,0.023256,0,0.023256,0,0,1
A human youth is stealing a coffee arabica from a hospital chapel.,14,5.908936,11.796875,11.796875,13.351562,0.571429,0.5,0.214286,0.928571,0,0,0.244629,0.095276,0.015152,0,0.015152,0,0,2
A human baby shot 3.02 grams of conotoxin into a woman.,17,5.008523,9.742188,9.742188,10.34375,0.647059,0.411765,0.294118,0.941176,0,0,0.285156,0.171631,0.036364,0.054545,0.018182,0,0,2
A human adult kicks a torso with a Snap_On ratchet.,13,6.572313,13.171875,13.171875,15.765625,0.615385,0.538462,0.307692,0.923077,0,0,0.253906,0.118225,0.039216,0,0.058824,0,0,0
A transmission is not compounding with a hydropower water area.,14,5.716413,10.578125,10.578125,13.242188,0.642857,0.428571,0.142857,1,0,0,0.242432,0.166626,0.015873,0,0.015873,0,0,2
A snake wasn't comprehending a signalling.,9,6.668484,12.9375,12.9375,13.375,0.666667,0.555556,0.333333,1,0,0,0.273438,0.145996,0.047619,0,0.02381,0,0,2
A permanent magnet dc motor doesn't combine with a hard disk drive.,14,4.510899,9.84375,9.84375,12.351562,0.428571,0.357143,0.142857,1,0,0,0.290771,0.105408,0.029851,0,0.014925,0,0,2
A human adult will not vote.,7,6.261719,8.328125,8.328125,9.671875,1,0.571429,1,1,0,0,0.164551,0.158447,0.035714,0,0.035714,0,0,2
An aquatic mammal won't be spraying some milk foam.,12,6.067612,11.765625,11.765625,12.304688,0.75,0.666667,0.416667,1,0,0,0.267822,0.142334,0.039216,0,0.019608,0,0,2
A leech smelt with an eyebrow.,9,5.896701,10.085938,10.085938,10.625,0.666667,0.444444,0.333333,1,0,0,0.183716,0.164062,0.033333,0,0.033333,0,0,-2
3 humans acts.,4,9.253906,12.3125,12.3125,13.3125,1,0.75,1,1,0,0,0.169678,0.165771,0.071429,0.071429,0,0,0,2
Some sake wrought.,4,11.481445,14.367188,14.367188,17.453125,1,1,1,1,0,0,0.195312,0.194824,0.055556,0,0.055556,0,0,2
A hoofed mammal kicked a wool with a pulse oximeter.,14,6.020016,13.695312,13.695312,15.21875,0.571429,0.428571,0.214286,0.928571,0,0,0.306152,0.124634,0.019231,0,0.019231,0,0,-3
A human adult is massaging a human adult.,10,4.92793,8.328125,8.328125,10.078125,0.6,0.4,0.3,0.8,0,0.222222,0.1604,0.112366,0.02439,0,0.02439,0,0,2
A human youth doesn't shout.,7,6.621303,9.703125,9.703125,11.796875,0.714286,0.571429,0.571429,1,0,0,0.199585,0.124207,0.071429,0,0.035714,0,0,2
A man won't be waving with a handheld anti-tank grenade launcher.,14,5.086077,10.492188,10.492188,11.460938,0.5,0.428571,0.214286,1,0,0,0.213379,0.143677,0.046154,0,0.015385,0,0,2
A human baby won't shoot 16.55 amus of tetrodotoxin into null.,21,5.427927,9.429688,9.429688,16.125,0.666667,0.52381,0.238095,0.952381,0,0,0.313477,0.174072,0.048387,0.064516,0.016129,0,0,-3
UNK_ORG_1 will be pointing a liver with a medial inferior genicular artery.,18,6.093045,11.96875,11.96875,14.3125,0.611111,0.555556,0.222222,0.944444,0,0,0.241821,0.156006,0.04,0.013333,0.08,0,0,-3
A novel was radiating a chimney a plantain.,11,7.290305,11.625,11.625,12.695312,0.818182,0.636364,0.454545,0.909091,0,0,0.130493,0.118896,0.023256,0,0.023256,0,0,-2
Who will not be pipping a m60?,10,6.256836,8.476562,8.476562,13.296875,0.8,0.6,0.5,1,0,0,0.202393,0.177246,0.033333,0.066667,0.033333,0,0,-1
A human adult was pilotting an airplane.,9,6.351454,11.351562,11.351562,13.992188,0.666667,0.555556,0.666667,1,0,0,0.212402,0.160278,0.025,0,0.025,0,0,2
Who was buying a dormitory a smart phone?,10,6.005859,10.242188,10.242188,12.039062,0.7,0.5,0.5,0.9,0,0,0.19397,0.151245,0.02439,0,0.02439,0,0,-2
Seven humans was guiding Alfred.,6,9.626302,11.875,11.875,12.203125,1,0.833333,1,1,0,0,0.160034,0.158569,0.03125,0,0.0625,0,0,2
7 staphylococcus aurei were killing five marburg viruss.,16,6.024401,11.226562,11.226562,12.546875,0.6875,0.6875,0.5,1,0,0,0.389404,0.241333,0.017857,0.017857,0,0,0,1
A warm blooded vertebrate protected a compartment.,10,5.677132,8.804688,8.804688,9.921875,0.8,0.5,0.4,1,0,0,0.396973,0.202393,0.02,0,0.02,0,0,1
Olga will not be advertising a Facebook account to null.,12,6.035645,9.765625,9.765625,12.703125,0.75,0.5,0.333333,1,0,0,0.26709,0.22229,0.017857,0,0.035714,0,0,-3
Jessie disclosed 14 united kingdom gallons of V series nerve agent to a funeral arranger.,19,6.244239,13.703125,13.703125,15.03125,0.578947,0.526316,0.210526,1,0,0,0.249512,0.111816,0.011236,0.022472,0.022472,0,0,-1
Some lipoprotein will be chilling.,8,6.599731,10.929688,10.929688,14.773438,0.75,0.5,0.375,1,0,0,0.262695,0.162354,0.029412,0,0.029412,0,0,2
Who is hearing an instrumental music?,7,5.955915,8.859375,8.859375,10.945312,0.571429,0.571429,0.428571,1,0,0,0.158081,0.109741,0.027027,0,0.027027,0,0,2
Who was searching for a an arthropod?,10,5.170871,10.046875,10.046875,10.695312,0.7,0.5,0.3,1,0,0,0.297607,0.111694,0.027027,0,0.027027,0,0,2
Four human children were pestling some compound substance.,10,7.327734,11.015625,11.015625,15.046875,0.8,0.7,0.5,1,0,0,0.222046,0.203491,0.017241,0,0.017241,0,0,2
A superior gluteal deep branch artery will be strangling a monoploid cell.,18,5.155816,9.53125,9.53125,12.820312,0.555556,0.444444,0.166667,1,0,0,0.282471,0.184326,0.013514,0,0.013514,0,0,-2
A vaccinatable disease infects a vaccinia virion.,13,4.736723,9.101562,9.101562,13.882812,0.538462,0.461538,0.230769,0.923077,0,0,0.362793,0.212524,0.020408,0,0.020408,0,0,2
An assembly station combines with a fuel injector.,9,5.622125,8.265625,8.265625,8.914062,0.777778,0.555556,0.555556,1,0,0,0.195068,0.127197,0.02,0,0.02,0,0,-1
Joan was discovering a biological attribute.,8,6.610352,9.703125,9.703125,11.460938,0.75,0.5,0.375,1,0,0,0.213013,0.179443,0.022727,0,0.022727,0,0,2
Paula tasted some spice.,6,6.986654,8.726562,8.726562,14.273438,0.666667,0.5,0.333333,1,0,0,0.175171,0.156738,0.041667,0,0.041667,0,0,2
A human is uploading an audio file.,8,4.969543,8.328125,8.328125,11.21875,0.75,0.25,0.75,1,0,0,0.255371,0.174438,0.028571,0,0.028571,0,0,2
Three human children fished 9 salmons.,10,6.153223,9.46875,9.46875,9.546875,0.7,0.6,0.4,1,0,0,0.239136,0.182007,0.026316,0.026316,0.026316,0,0,2
Eight human children are not searching for a a brood.,12,6.168925,10.6875,10.6875,11.617188,0.583333,0.583333,0.25,0.916667,0.090909,0,0.242188,0.138306,0.018868,0,0.018868,0,0,2
A human discovers a radio receiver to an afro asiatic language.,14,5.417351,11.34375,11.34375,12.078125,0.642857,0.5,0.357143,1,0,0,0.276611,0.134033,0.015873,0,0.015873,0,0,0
A human child will not be singing a song with a speaking a long utterance.,17,4.838712,8.96875,8.96875,10.4375,0.529412,0.470588,0.235294,0.882353,0,0,0.25708,0.145264,0.013514,0,0.013514,0,0,0
A human youth protected a safety device.,8,7.30957,10.09375,10.09375,11.796875,1,0.625,1,1,0,0,0.187134,0.18103,0.025,0,0.025,0,0,2
A restaurant is selling some beverage a book store.,10,6.437891,9.601562,9.601562,11.421875,0.8,0.7,0.6,1,0,0,0.206421,0.190918,0.019608,0,0.019608,0,0,-3
A human doesn't include a finite set.,9,5.649631,8.859375,8.859375,9.78125,0.666667,0.555556,0.333333,1,0,0,0.314697,0.250488,0.054054,0,0.027027,0,0,2
A human child was soldering some brass.,9,6.046441,8.328125,8.328125,13.59375,0.777778,0.444444,0.333333,1,0,0,0.274902,0.252441,0.025641,0,0.025641,0,0,2
15.3 amus of cocoa liquor works.,10,7.504688,11.757812,11.757812,12.414062,0.7,0.7,0.6,0.9,0,0,0.171997,0.157104,0.0625,0.09375,0,0,0,2
A human child won't mail a letter.,9,5.526421,9.335938,9.335938,13.835938,0.555556,0.444444,0.444444,1,0,0,0.24646,0.126465,0.058824,0,0.029412,0,0,2
A man punched 5 heads.,7,6.374442,8.203125,8.203125,11.875,1,0.714286,1,1,0,0,0.223022,0.217041,0.045455,0.045455,0.045455,0,0,2
0 woody plants compact a tetraploid cell.,11,6.38319,12.242188,12.242188,13.375,0.636364,0.545455,0.272727,1,0,0,0.226807,0.083679,0.02439,0.02439,0,0,0,1
An educational organization will be finding from a museum.,10,5.506055,8.296875,8.296875,9.078125,0.7,0.6,0.4,1,0,0,0.135864,0.096069,0.017241,0,0.017241,0,0,-3
Ten men doesn't point a dishdashah with an artifact.,13,7.101976,11.101562,11.101562,15.53125,0.692308,0.615385,0.307692,1,0,0,0.244141,0.200195,0.038462,0,0.019231,0,0,0
Who was beckonning with a hand?,9,5.770942,7.753906,7.753906,13.5625,0.888889,0.555556,0.666667,1,0,0,0.222534,0.197266,0.032258,0,0.032258,0,0,2
A human adult is compounding with a correspondence.,10,6.403711,12.570312,12.570312,14.226562,0.8,0.4,0.3,1,0,0,0.151611,0.123962,0.019608,0,0.019608,0,0,-2
A human child is canvassing some blood plasma.,10,6.368799,8.9375,8.9375,15.273438,0.7,0.6,0.3,1,0,0,0.262695,0.187378,0.021739,0,0.021739,0,0,1
An alligator was running a reptile.,9,4.991848,7.707031,7.707031,8.429688,0.777778,0.555556,0.333333,1,0,0,0.241699,0.12793,0.028571,0,0.028571,0,0,-3
10 worms will be smelling with a corynebacterium diphtheriae.,18,4.072307,11.929688,11.929688,14.445312,0.444444,0.388889,0.166667,1,0,0,0.427734,0.085938,0.016393,0.032787,0,0,0,-2
Annabel toys.,4,8.285156,9,9,14.5,1,0.5,1,1,0,0,0.186401,0.182251,0.076923,0,0.076923,0,0,2
A file device is smoothing 9.0 Ounces of rust.,15,5.777092,11.40625,11.40625,18.359375,0.6,0.466667,0.2,0.933333,0,0,0.265137,0.13562,0.043478,0.043478,0.043478,0,0,-2
A city missions will be losing a baptistsamfundet.,13,7.12485,12.445312,12.445312,15.476562,0.692308,0.615385,0.307692,1,0,0,0.256348,0.187744,0.02,0,0.02,0,0,-2
Some ice will chill some fossil fuel.,8,6.829956,10.304688,10.304688,11.195312,0.75,0.75,0.75,1,0,0,0.259033,0.231689,0.027027,0,0.027027,0,0,2
A queen insect watched at an HIV virus.,9,7.151693,11.648438,11.648438,11.882812,0.888889,0.555556,0.888889,1,0,0,0.169922,0.157349,0.025641,0,0.102564,0,0,1
A human adult is spreading some aerosolized agent to a printed sheet.,15,5.362256,11.875,11.875,11.898438,0.6,0.533333,0.2,1,0,0,0.244263,0.141479,0.014493,0,0.014493,0,0,1
A pollen will cool some honey.,7,7.323103,10.03125,10.03125,11.632812,0.857143,0.714286,0.857143,1,0,0,0.147217,0.137573,0.033333,0,0.033333,0,0,-2
A tick hears a radiating sound ultrasonic.,10,6.483984,12.039062,12.039062,12.8125,0.6,0.4,0.3,1,0,0,0.2771,0.213257,0.02381,0,0.02381,0,0,0
A livestock sells zero guinea pigs a book publisher.,11,7.284091,12.75,12.75,13.578125,0.727273,0.545455,0.454545,1,0,0,0.208008,0.145874,0.019231,0,0.019231,0,0,0
A flowering plant will kill a succulent.,9,4.836994,7.90625,7.90625,11,0.555556,0.444444,0.222222,1,0,0,0.260986,0.083557,0.025,0,0.025,0,0,1
A human child doesn't paint some whole milk.,10,7.237305,10.023438,10.023438,11.929688,0.9,0.7,0.5,1,0,0,0.206299,0.149414,0.045455,0,0.022727,0,0,2
Eight human children retrieved a field of study.,9,7.179145,9.898438,9.898438,9.898438,0.888889,0.777778,0.666667,1,0,0,0.223389,0.198364,0.020833,0,0.020833,0,0,1
Who has not borrowed from a robotic joint a human adult?,12,5.992676,10.195312,10.195312,12.179688,0.666667,0.5,0.416667,0.916667,0,0,0.213989,0.168091,0.017857,0,0.017857,0,0,1
A coffee plant is selling a sesame a business.,10,6.601367,10.773438,10.773438,12.046875,0.7,0.6,0.3,0.9,0,0,0.165771,0.138672,0.021739,0,0.021739,0,0,-2
A human child was searching for a a natural language.,11,5.381658,9.09375,9.09375,9.710938,0.636364,0.545455,0.272727,0.909091,0.1,0,0.215088,0.11145,0.018868,0,0.018868,0,0,2
A human is giving some copper ore to null.,10,6.553662,10.070312,10.070312,15.820312,0.9,0.5,0.7,1,0,0,0.329834,0.256348,0.02381,0,0.02381,0,0,-3
