"Input","Prediction"
"Convert the following sentence to SUO-KIF: Normally, the weather is good.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Interpreting ) ( agent ? P You ) ( instance ? DO Weather ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Swarms of motor vehicles in large cities create poor air quality.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Swarming ) ( agent ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ( instance ? DO PoorAirQuality ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Implementation of adaptation measures to the effect of global warming is the most practical action we can take.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Interpreting ) ( agent ? P You ) ( instance ? DO ClimateCooling ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The effect of global warming on infectious diseases is indirect.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Putting ) ( agent ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ( instance ? V2 InfectiousDiseases ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: The number of cholera cases was increased by both high and low rainfalls in Bangladesh.","(SOUPIDE ) (SOUPIDE ) (CaseFn CholeraCaseBy HighAndLowRaspberriesInDhaka ) (CaseFn ? OBJ-KIF ) (Attribute Unable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable ) (Attribute Unavailable "
"Convert the following sentence to SUO-KIF: Vector-borne infectious diseases are caused by the pathogens transmitted by arthropods.","( causes VectorBorneInfectiousDiseases ( pathogens TransmittedBy Arthropods ) )"
"Convert the following sentence to SUO-KIF: Anthropogenic climate change has the potential for slightly increasing the intensity of tropical cyclones through warming of sea surface temperatures.","( potential AnthropogenicClimateChange ) ( slightlyIncreasing ( intensity TropicalCycloneFn WarmingOfSeaSurfaceTemperature ) ( patient ? Climate ) ) )"
"Convert the following sentence to SUO-KIF: If the absorption is not matched by radiation back into space, the earth gets warmer until the intensity of that thermal radiation matches the absorbed incoming sunlight.","( => ( modalAttribute ( not ( matchedByAbsorptionBackInSpace ) ) ( briskness ? Earth GettingCollier ) ( equal ( intensity ? absorbedTemporalRessource ) ( absorbedInSighteningFn ? Sunlight ) ) )"
"Convert the following sentence to SUO-KIF: A shift to a 2 degree Celsius pathway requires immediate significant and sustained global mitigation, with a probable reliance on net negative emissions in the longer term.","( subjectiveAttribute ? SWISS ? C ) ( and ( shift ? ENERGY 2 DegreeCcalfPathway ) ( imminentSignificanceAndSustainedGlobalMatimaticalRequirement ) ( probableReliabilityOn netNegativeEmissions ? Term ) )"
"Convert the following sentence to SUO-KIF: The debate has become emotionally charged with the proponents and opponents of global warming dug in their rigid stance.","( emotionalCouldDebate ) ( emotionalProponentsAndOponentsOfGlobalWarming ) ( rigidStandardStandardAttribute ) )"
"Convert the following sentence to SUO-KIF: Over the last two decades, E3G has worked with partners to produce better policies and political strategies through in-depth analysis of the political economy of climate action in almost 30 countries covering 73% of the world's greenhouse gas (GHG) emissions.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "E3G" ? H ) ( instance ? P Working ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO ClimateAction ) ( patient ? P ? DO ) ( instance ? IO GHG ) ( instance ? IO GHG ) ( patient ? P ? IO ) ) )"
"Convert the following sentence to SUO-KIF: The real existential threats to regular people in the U.S. and China alike are global in scope and can be effectively addressed only if the two countries are working together.","( modalAttribute ( exists ( ? U ? KF ) ( and ( exists ( ? U ? U ) ( and ( instance ? U ) ( names "US" ? U ) ) ( instance ? U Working ) ( agent ? U ? U ) ) )"
"Convert the following sentence to SUO-KIF: Competing views of how to control increasingly accessible marine resources and sea routes, unintended military accidents and conflict, and spill-over of major power competition in the Arctic all have the potential to threaten U.S. interests and prosperity.","( potential ( ComparingViewsOfHowToControlIncreasinglyAccessibleMarineResourcesAndSeaRoutes) (UnintendedMilitaryAccommodationAndConflict ) (SpillOverOfMilitaryPowerCompetitionInTheArctic ) (Although CompetingMinutesOfView ) (AgreementFn U.S.InterestsAndProsperity ) )"
"Convert the following sentence to SUO-KIF: The world has less than a decade left to steer away from the most disastrous consequences, according to the 2018 report by the Intergovernmental Panel on Climate Change.","( exists ( ? H ? P ? DO ? IO ) ( and ( attribute ? H World ) ( instance ? P Translocation ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Decade ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Though the CCP was responsible for about 12 percent of cumulative global emissions since the start of the Industrial Revolution to 2017—compared to 25 percent for the United States and 22 percent for the European Union and United Kingdom—it now emits about a third of the world's greenhouse gases each year, well ahead of any other economy.","(Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) (Analysis (GasotopeFn 0 (Yuan ) ) ) ("
"Convert the following sentence to SUO-KIF: China could surpass the United States’ cumulative emissions around 2050.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "China" ? H ) ( instance ? P Translocation ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Combustion ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: More than 50% of youth in the United States are very or extremely worried about climate change.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Seeing ) ( experiencer ? P ? H ) ( instance ? V2 ClimateChange ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: The average winter temperature in Boston has gone up by 3.7 degrees Fahrenheit since 1970.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Getting ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Temperature ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Massachusetts gets 11 more above-freezing days in the winter due to climate change.","( modalAttribute ( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Massachusetts" ? H ) ( instance ? P Getting ) ( agent ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ( memberType ? DO AboveFlyingDay ) ( memberCount ? DO 11 ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Sweden has more than 200,000 moose, but climate change has caused reduced breeding rates and smaller calves.","( exists ( ? HA ) ( and ( instance ? HA Human ) ( names "Sweden" ? HA ) ( causes ClimateChange ) ( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Climate ) ( instance ? P Creation ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? V2 Maneuver ) ( refers ? DO ? V2 ) ) ) )"
