Length,Average Number of Sentences,Complex Sentence
15,1.4,"Scarborough railway station serves the seaside town of Scarborough in North Yorkshire, England."
19,1.0,"Within a decade of its inception, A & M became the world's largest independent record company."
24,1.8,"The two wavy lines above and below depict the two rivers which gave the district its name, the Ruhr and the Ennepe."
33,1.5,"Author, Peter Preuss, stated that the possum's population faltered in 1997 with current habitat (limited to a 50 - square-kilometre area) under threat from logging."
16,1.3,"Unexpectedly, the German Wehrmacht officers tended to him and sent him to a hospital."
32,2.0,"The monastery was entirely rebuilt by lord Smbat of the House of Orbelian, a branch of the Liparitids who were expelled to Armenia in the late 12th century from Georgia."
20,1.4,A new frontal ridge had formed on August 17 which caused the storm to drift in a westerly direction.
20,1.1,"In 1847 parts of Caldwell County, Iredell County, and Wilkes County were combined to form Alexander County."
14,1.0,Much of the ministry of Jesus occurred on the shores of Lake Galilee.
14,1.0,"About 2,000 to 3,000 cocoons are required to make a pound of silk."
16,1.1,"International English Language Testing System, is an international standardised test of English language proficiency."
21,1.1,"According to a letter sent to his church, he and his doctors believed that the cancer was fully treatable."
8,1.0,It is adjacent to Lord Wandsworth College.
25,1.6,"It was to serve as an international auxiliary language, that is, as a universal second language, not to replace ethnic languages."
18,1.3,He most recently worked with Slipknot on their new fourth studio album titled All Hope Is Gone.
14,1.4,"Mostly found in Andhra Pradesh also in Orissa, Tamil Nadu and Karnataka."
16,1.0,Many other authors of this period described eastern Mediterranean cooking in Greek and in Latin.
26,1.7,The town was built on the mouth of a small tributary; the High Street once met the water at the top of the river.
17,1.2,"History U. S. President Woodrow Wilson first proclaimed an Armistice Day for November 12, 1919."
17,1.3,Seventh Son (1987) is an alternate history / fantasy novel by Orson Scott Card.
30,1.6,"Hillary Diane Rodham Clinton (, born October 26, 1947) is the 67th United States Secretary of State, serving within the administration of President Barack Obama."
12,1.0,"However, the document is Cherubino's appointment to the army."
31,1.6,"With an area of 11,980 km ² and 1.3 million inhabitants, Upper Austria is the fourth-largest Austrian state by land area and third-largest by population."
27,1.5,"These books follow the fortunes of Tamara and William Swift, who first appeared in the BBC computer animated web movie Ghosts of Albion: Legacy."
10,1.0,How much less depends on the type of RAID.
12,1.0,They currently play in the Eastern Division of the National Conference.
15,1.0,"The name is thought to be derived from Greta River in Cumberland, England."
19,1.2,His decision to cut the bridges on the Han River prevented thousands of citizens from escaping Communist rule.
18,1.3,"Economy and infrastructure The community is home to more than 600 businesses with well over 2,000 jobs."
37,1.6,"Elin arrives at Agnes's house, mainly as an excuse to avoid going to a different party, where there will be a boy (Johan) (Mathias Rust) she wants to avoid."
28,2.0,"Serpent is a symmetric key block cipher which was a finalist in the Advanced Encryption Standard (AES) contest, where it came second to Rijndael."
25,1.5,"After 1627, King Louis XIII of France introduced the seigneurial system and forbade settlement in New France by anyone other than Roman Catholics."
30,1.4,"Assuming good faith does not prohibit discussion and criticism, but instead editors should not attribute the actions being criticized to malice unless there is specific evidence of malice."
23,1.7,"The album debuted at number 64 in the US, and number nine in Sweden, higher than any previous Opeth release."
16,1.0,"In Shinto, Takama-ga-hara is the dwelling place of the Kami."
31,1.4,PackageKit is an open source and free suite of software applications designed to provide a consistent and high-level front end for a number of different package management systems.
23,1.7,"It appears to have lived in wetlands, using two fork-like incisors to shovel up reeds and sedges for food."
37,1.7,"The battle began a seven-year war which established the Rhine as the boundary of the Roman Empire for the next four hundred years, until the decline of the Roman influence in the West."
29,1.3,This reflects the fact that the Parliament's President is not part of the executive branch but still ranks higher in (symbolic) importance than the Chancellor.
28,1.2,"The exact nature of the transforming principle (DNA) was verified in the experiments done by Avery, McLeod and McCarty and by Hershey and Chase."
17,1.2,"Recuperating for months in a wheelchair, she continued singing to help pay her medical bills."
18,1.5,"He legally changed his name to Robert Dylan, and signed a management contract with Albert Grossman."
16,1.0,Members of the DeCavalcante family believed themselves to be the inspiration for the DiMeo family.
15,1.4,Sivry-Rance is a Walloon municipality located in the Belgian province of Hainaut.
16,1.5,Oliver Cromwell attacked Drogheda in 1649 slaughtering the Royalist garrison (Siege of Drogheda).
21,1.4,"Because it was a weak storm and never made landfall, Cristobal's effects were mostly limited to moderate rainfall."
25,1.3,Villeneuve-Loubet is a commune in the Alpes-Maritimes department in the Provence-Alpes-Côte d'Azur region in southeastern France.
17,1.0,The most dominant males can collect as many as 15 - 20 females to mate with.
38,2.1,"Their unusual size is attributed to island gigantism, since there are no other carnivorous animals to fill the niche on the islands where they live, and also to the Komodo dragon's low metabolic rate."
27,1.5,"Located in the Constitution Gardens, the reflecting pool is approximately 2,029 feet (618 m) long and 167 feet (51 m) wide."
18,1.3,"When he did tapasya and sadhana at Bavania in Gujarat, he was known as Tallaiya Baba."
24,1.0,"She first rose to prominence as an academic, barrister, campaigner and member of the Irish senate (1969 – 1989)."
18,1.1,"Boxing, amateur wrestling, puroresu, mixed martial arts and fencing are examples of combat sports."
43,1.9,"The proportion of C-types may actually be greater than this, because C-types are much darker than most other asteroid types except D-types and others common only at the extreme outer edge of the Main Belt."
24,1.5,Levon V Lusignan of Armenia is imprisoned for several years in Cairo until a ransom is paid by King John I of Castile.
23,1.4,"However, by the close of the 19th century, the 9th edition was outdated and the Britannica faced significant financial difficulties."
34,1.6,"Music Musical numbers Follows is a listing of the thirty-three compositions written by members of The Beatles that are heard on the soundtrack, in the order featured in the film."
24,1.4,"On 8 November 1917, Lenin was elected the Chairman of the Council of People's Commissars by the Russian Congress of Soviets."
17,1.2,"Brantridge Park, Balcombe, West Sussex, England is one of the lesser royal residences."
24,1.2,"Following his success with Star Trek, he supplemented his income and showed continued support for his fans by making numerous public appearances."
21,1.1,"Since it formed at 36 ° N, this system is the northernmost formation in the eastern north Pacific basin."
25,1.3,"While it is a self-contained story, the book continues and develops many of the themes touched on in the first book."
19,1.1,"Almost all weapons, vehicles, and interactive objects can be placed and moved on maps with Forge."
17,1.2,"Biography Howard was born in Stockport, Cheshire, in England on December 7, 1977."
30,1.3,"Then, on December 21, 1994 the volcano spewed gas and ash which was carried as far as 25 km (16 mi) away by prevailing winds."
23,1.3,The term is applied both to routine weather variations and to extraordinary spells of heat which may occur only once a century.
11,1.0,U. S. involvement in the war comes to an end.
15,1.5,"He traveled over 200,000 miles, an incredible achievement for pre-aviation times."
27,1.8,"The technique is credited to Albert Humphrey, who led a convention at Stanford University in the 1960s and 1970s using data from Fortune 500 companies."
41,1.8,"An organism that obtains carbon from organic compounds but obtains energy from light is called a photoheterotroph, while an organism that obtains carbon from organic compounds but obtains energy from the oxidation of inorganic compounds is termed a chemoheterotroph."
13,1.0,"Altogether, the constellation contains about 50 galaxies observable through amateur telescope."
16,1.3,"It was first released in Japan for the Nintendo 64 on April 14, 2001."
23,1.6,"The Republican Party is one of the two major contemporary political parties in the United States, along with the Democratic Party."
15,1.0,"In the past 20 years or so, many new anchor designs have appeared."
38,1.8,The Armenian legion was established under the goals of the Armenian national liberation movement and was an armed unit besides the Armenian volunteer units and Armenian militia during World War I which fought against the Ottoman Empire.
23,1.4,It is said to be electrogenic; a fish that has the ability to detect electric fields is said to be electroreceptive.
7,1.0,He reigned from 1804 to 1824.
22,1.0,A supermassive black hole is a black hole with a mass of the order of between 105 and 1010 solar masses.
18,1.0,It was also on the London Sunday Times best-seller list for more than four years.
15,1.0,"Legacy of Kings In February 1998, the recording of Legacy of Kings began."
12,1.0,For example she frequently sings traditional songs with a piano accompaniment.
36,1.9,"Elizabeth Ann Smart (born November 3, 1987) is an American woman who was abducted from her Salt Lake City, Utah bedroom on June 5, 2002 at the age of 14."
29,1.0,"Further, the term ""The Celsius or Centigrade thermometer"" was again used in reference to a particular type of thermometer at least as early as 1850."
16,1.0,Earth is the only place in the universe where life has been confirmed to exist.
16,1.3,"It consisted of the American, British, and French occupation sectors established in 1945."
24,1.7,"Origins Initially a part of Urartu, Sophene became a province of the newly emerged ancient Armenian Kingdom of Orontids around 600 BC."
16,1.5,"However, there are exceptions to this rule, such as defense rather than defence."
30,1.6,All of the Office 95 products have OLE 2 capacity — moving data automatically from various programs — and PowerPoint 7 shows that it was contemporary with Word 7.
11,1.3,Littlest Pet Shop is a toy franchise owned by Hasbro.
16,1.4,Kievan Rus' ultimately disintegrated and the lands were divided into many small feudal states.
12,1.0,"Occasionally, she starred in ""Maestro Minnie"" Maestro Minnie."
13,1.0,Seeds of several species are the source of the popular beverage coffee.
26,1.4,A medical emergency is an injury or illness that is acute and poses an immediate risk to a person's life or long term health.
21,1.1,Some notable series that trace their look and feel to Wizardry include The Bard's Tale and Might and Magic.
43,1.8,"Backstory The general plot of the game is that a team of four, an Alien, a Human, an Android, and a Psionic, have left Earth aboard a spacecraft on the basis of the planet's imminent destruction."
13,1.1,Eastman and Kotik performed together extensively in the early to mid 1970s.
47,1.5,"Prior to World War I, the Near East referred to relatively nearby lands of the Ottoman Empire, Middle East to northwestern South Asia and Central Asia, and Far East for countries along the western Pacific Ocean and countries along the eastern Indian Ocean."
19,1.0,A considerable amount of research has been put into designs that avoid these delays as much as possible.
26,1.8,"The storm continued, crossing the Outer Banks of North Carolina, and retained its strength until June 20 when it became extratropical near Newfoundland."
20,1.2,"Web colors are colors used in designing web pages, and the methods for describing and specifying those colors."
16,1.2,The rotation period could not be estimated conclusively (best fit ~ 4 h).
24,1.5,"RC4 was initially a trade secret, but in September 1994 a description of it was anonymously posted to the Cypherpunks mailing list."
30,1.0,"For example, 1.5 & times; 30 (which equals 45) will show the same result as 1,500,000 & times; 0.03 (which equals 45,000)."
18,1.4,It is currently used mostly for football matches and is the home stadium of Association Sportive SONABEL.
21,1.8,It is the fourth Metal Gear game produced and directed by Kojima and the direct sequel to Metal Gear Solid.
14,1.0,His travel writings and his extensive diaries and correspondence have also been published.
18,1.1,"Blade of Fire is the second novel in Stuart Hill's fantasy series, the Icemark Chronicles."
43,1.8,"The Spanish did not manage to conquer the island until 1697, after several attempts, that begun in 1629, when they marched in, from Corozal in Belize, Yucatán and Alta Verapaz, attacked via boats and destroyed it."
13,1.0,Meanwhile the KLI has about 20 of those former Beginners' Grammarians.
18,1.3,It formed on July 19 from a trough of low pressure off the Southeast U. S. Coast.
16,1.4,George Bernard Shaw (26 July 1856 2 November 1950) was an Irish playwright.
13,1.2,"A road movie set across Canada, its tagline was They came."
14,1.1,"8 Flora (,) is a large, bright main belt asteroid."
11,1.1,Cocoa was an important commodity in Pre-Columbian Mesoamerica.
18,1.0,A game played in a browser is often called a browser-based game (BBG).
18,1.0,His team had been vanquished in two consecutive games by the Montreal Canadiens in 1929 – 30.
37,1.4,"This was a quite sensitive topic at the time, since Poland was concerned that someday a German government would seek to reclaim some of this traditionally Germany territory given to Poland after World War II."
40,1.6,"Many of these officers were black and had a fear that as they blended in very well they would be mistaken for a criminal by other police officers, especially in case of drawing their gun in an emergency."
26,1.4,The Alabama state legislature formed additional counties from former Indian lands as the Indian Removal Act took effect and settlers populated different areas of Alabama.
20,1.2,"Established in 1892 / 93, the Sheffield Shield is the premier domestic first class cricket competition in Australia."
39,1.5,"He was a leading figure in the German political party Alliance '90 / The Greens, and according to opinion polls, he was the most popular politician in Germany for most of the government's duration."
12,1.0,Bonham Carter will be starring alongside Matthew Macfadyen and Denis Lawson.
29,1.2,"Genotype and Mendelian inheritance The distinction between genotype and phenotype is commonly experienced when studying family patterns for certain hereditary diseases or conditions, for example, haemophilia."
11,1.0,Only the Congress can pass changes to FIFA's statutes.
19,1.2,Between 1898 and 1901 he was a choral coach and subsequently an assistant conductor at the Bayreuth Festival.
20,1.0,"The elements are thus distinguished: Yang Wood, Yin Wood, Yang Fire, Yin Fire, etc."
13,1.0,The game includes elements of role-playing and business simulation games.
16,1.2,In 1974 he was tried and acquitted of participating in the raid that rescued Baader.
8,1.0,Spandau was given city rights in 1232.
26,1.0,Max and Moritz as well as many of his other picture stories are regarded as one of the main precursors of the modern comic strip.
21,1.5,"Polydor Records is a record label currently headquartered in the UK, and is a subsidiary of Universal Music Group."
12,1.0,He even envisioned centralized air conditioning that could cool entire cities.
33,1.4,"Following the December 2007 decision by landlords, the Vale of Glamorgan Council to terminate the £65,000 funding of the Barry Island Railway, the society struggled to maintain a service."
42,1.3,"David W. Dunham, The Minor Planet Bulletin, Volume 6, p. 13 - 14 (December 1978) ADS archive copy However, careful examination in 1993, using the Hubble Space Telescope, failed to locate a secondary."
25,1.6,"It was developed from farming land during the 1990s and early 21st century, and sits between the historic villages of Mangotsfield and Downend."
19,1.0,"The valleys of the Waimea River and its tributary, the Makaweli River, were once heavily populated."
12,1.0,Economy Up to the 20th century Nidwalden was dominated by agriculture.
8,1.0,Fierce Creatures is a 1997 comedy film.
13,1.4,"Proteus is very cratered, showing no sign of any geological modification."
7,1.0,It also featured original ECW talent.
12,1.0,"The city's Inca architecture, however, withstood the earthquake."
25,1.5,"Jedin, 138 By specifying Catholic doctrine on salvation, the sacraments, and the Biblical canon, the Council was answering Protestant disputes."
27,1.7,"Turkestan (literally meaning ""Land of the Turks"") is a region in Central Asia, which today is largely inhabited by Turkic peoples."
17,1.2,"On April 7, 2004, Messing gave birth to their son, Roman Walker Zelman."
10,1.0,"In 1887, was reorganized into a stock company."
20,1.2,"Cheaha Mountain, often called Mount Cheaha, is the highest point in the U. S. state of Alabama."
15,1.1,Their sound can be described as Celtic folk metal with melodic death metal influences.
15,1.0,The former location of the fort is currently called the Place de la Bastille.
15,1.3,Pueblos are traditional communities of Native Americans in the southwestern United States of America.
10,1.0,Cash transactions are rounded to the nearest five cents.
12,1.0,This advanced protocol will not work with some older network cards.
17,1.0,"By the age of 21, he was already recognized for composing more than 200 songs."
8,1.1,Waterson took the Labour whip in Parliament.
32,1.7,"The cyclone continued tracking northwestward, making landfall around 0000 UTC on September 22 near Fort Walton Beach, Florida with winds of 35 mph (55 km / h)."
22,1.0,Poutrincourt's son bequeathed the settlement to Charles de Saint-Étienne de la Tour upon his own death in 1623.
42,2.1,"The first minaret was constructed in 665 in Basra during the reign of the Umayyad caliph Muawiyah I. Muawiyah encouraged the construction of minarets, as they were supposed to bring mosques on par with Christian churches with their bell towers."
15,1.2,He was offered a Fulbright scholarship in 1965 to study in the United States.
19,1.4,The clinic was very modern and remained in the control of the Binswanger family for nearly 120 years.
20,1.3,"The show expanded from a half-hour in length to one hour starting on December 1, 1975."
26,1.5,"Through a business connection, he was introduced to Mary Parent with Universal Pictures, who immediately signed on after watching the episodes on DVD."
28,1.3,"After gathering a list of names from fans and conducting an online poll, the feature was named ECW X-Stream on October 31, 2007."
13,1.4,"Brusque is a city of 94,962 inhabitants in Santa Catarina, Brazil."
41,1.9,"The medal was first awarded in 1902 to J. J. Thomson ""for his numerous contributions to electric science, especially in reference to the phenomena of electric discharge in gases"", and has since been awarded 105 times."
16,1.1,The satellite has been given the provisional designation S / 2003 (130) 1.
16,1.0,He was one of the most influential madrigalist in the middle of the 16th century.
20,1.1,Tzu Chi was the first force from outside the People's Republic of China to join the rescue effort.
20,1.7,"The eared seals or otariids are marine mammals in the family Otariidae, one of three groupings of Pinnipeds."
50,2.1,"It consists of the red cross of Saint George (patron saint of England), edged in white, superimposed on the Cross of St Patrick (patron saint of Ireland), which are superimposed on the Saltire of Saint Andrew (patron saint of Scotland)."
37,2.1,"With the help of an albatross named Orville, the mice fly to the Bayou, and meet a dragonfly named Evinrude, who speeds them in a leaf to the ship where Penny is held."
37,2.0,"Her follow-up single ""Girlfriend"" also debuted at number one and her first album, Honey to the B (released immediately afterwards) debuted at Number 14 in the UK album charts."
21,1.3,Guangxi (or Guangxi Zhuang Autonomous Region;) is a Zhuang autonomous region of the People's Republic of China.
29,1.1,"Functions may variously include sensing touch, air motion, heat, vibration (sound), and especially olfaction (smell) or gustation (taste)."
39,1.4,"The Sutlej River (alternatively spelled as Satluj River) (,,,, and) is the longest of the five rivers that flow through the historic crossroad region of Punjab in northern India and Pakistan."
35,1.7,She later attended the Fiorello H. LaGuardia High School of Music & Art and Performing Arts (the high school featured in the movie Fame) before she entered the theater program at Juilliard.
17,1.2,"Some grow to be institutions as large as major hospitals, whilst retaining the name clinic."
23,1.0,"Secondly, it should be computationally infeasible to generate a valid signature for a party who does not possess the private key."
12,1.0,The Mulde River runs through the easternmost part of the district.
45,1.7,"Numerous movies have been filmed at the park, including portions of ""This is Cinerama,"" the first feature filmed in that wide-screen format, and a string of Esther Williams films and TV specials in the 1950s and 1960s."
25,1.0,"Since then, documentation of saffron's use over the span of 4,000 years in the treatment of some 90 illnesses has been uncovered."
38,1.7,"Banding features continued to organize as the system slowly strengthened, and on August 23 Debby attained a peak intensity of 50 mph (85 km / h) over the open waters of the Atlantic Ocean."
39,1.9,"While there he meets a young half-black boy by the name of Arthur Stuart, the son of a slave and a slave-owner who has been adopted by the owners of the local guesthouse."
34,1.5,"RIAA Website Although total worldwide album sales are not calculated by any single entity, as of 2004 several industry sources estimated Rush's total worldwide album sales at over 40 million units."
13,1.0,"Unusually, the publishers of winning works are honored with a certificate."
20,1.4,"A synonym for ""lolcat"" is cat macro, since the images are a type of image macro."
26,2.1,"In May, Chun declared martial law and did away with all trappings of civilian government, becoming the de facto ruler of the country."
17,1.1,References External links Discovery of Companions to Asteroids 762 Pulcova and 90 Antiope SWrI Press Release.
8,1.0,Chinchilla females are significantly bigger than males.
23,1.4,"In 1939, singer Marian Anderson was denied permission to perform in the Constitution Hall in Washington, because of her race."
21,1.5,"In computing, Kivio is free diagramming software that is part of KOffice, an integrated office suite for KDE."
13,1.0,"Mørk holds a Professorship at the Norwegian Academy of Music, Oslo."
28,1.6,Rawalpindi is also the military headquarters of the Pakistan Armed Forces and also served as the nation's capital while Islamabad was being constructed in the 1960s.
39,1.6,"Held from 17 June to 19 June 1944, this celebration was referred to as the ""The Jubilee Celebrations of IOC"" by Carl Diem, the originator of the modern tradition of the Olympic torch relay."
12,1.2,Celestus microblepharis is a species of lizard in the Anguidae family.
42,1.5,"After the mutiny Following the Indian Mutiny of 1857 - 58 and the consequent abolition of the East India Company, its European regiments were amalgamated in 1860 with the British Army, but its ‘ Native ’ regiments were not."
19,1.2,"HOPEFUL, the resident of Vanity Fair, who takes Faithful's place as Christian's fellow traveller."
34,1.7,"Naming and records After all of the twenty one predetermined hurricane names for the 2005 season were exhausted following Hurricane Wilma, the Greek alphabet was used, beginning with Tropical Storm Alpha."
30,1.5,"Associativity of addition: For any integers, a, b and c, (a + b) + c = a + (b + c)."
23,1.0,"Types of abrasions Colloquially, abrasions caused by contact with textiles or carpeting are referred to as rug burn or carpet burn."
17,1.6,History The district was created in 1994 by merging the two previous districts Riesa and Großenhain.
21,1.2,"The songs are written by many different famous composer in Hong Kong, such as Paul Wong and Eric Kwok."
24,1.6,"Silver-plate gives a clearer, brighter sound than gold and is good for styles of playing that need clarity and projection."
14,1.0,He was inducted into the Blues Hall of Fame later the same year.
17,1.0,In 1838 Thomas Icely requested that a village be established to service his large pastoral estate.
19,1.4,"The list is sorted by film and character, as some characters have been portrayed by multiple actors."
15,1.3,"It consists of seven or eight stages and oscillates around 1,200km in length."
36,1.6,"He was involved in litigation in 1889 with his former assistant Charles A. Borst, and the ""Great Star-Catalog Case"" Peters v. Borst went before the Supreme Court of New York."
29,1.3,"SWOT Analysis is a strategic planning method used to evaluate the Strengths, Weaknesses, Opportunities, and Threats involved in a project or in a business venture."
15,1.5,Burrendong Arboretum is a sanctuary for endangered Australian flora and covers 1.60 km ².
35,1.5,"Gothic architecture, in its Catalan or Mediterranean version, is the predominant style of this cathedral, although it also contains Romanesque, French Gothic, Renaissance art, Baroque and neoclassical elements."
16,1.4,"In 1798, the Helvetian Republic was proclaimed and the lords from Bern were ousted."
29,1.7,"On September 22, the system had become more organized, and the National Hurricane Center mentioned the potential existed for tropical or subtropical development in the area."
7,1.0,The adoption success rate was outstanding.
19,1.1,"Culture Attractions in Nouakchott include Nouakchott Museum, several markets including Nouakchott Silver Market, and the beaches."
18,1.1,"Parts of Europe, including much of Scandinavia, never adopted many feudal institutions, including serfdom."
26,1.2,"He composed music in all major genres, including art song, chamber music, oratorio, opera, ballet music, and orchestral music."
29,1.3,"However, unlike the moon, it has a large iron core, which generates a magnetic field about 1% as strong as that of the Earth."
29,1.8,"She finally found him in a hospital bed in Reggio Emilia, ill with a fever and subsisting on a daily bowl of chicory coffee and bread crust."
17,1.1,The Victoria Hall remained in use until 1941 when it was destroyed by a German bomb.
24,1.5,"In the 11th and 12th century Soest grew considerably, making it one of the biggest towns in Westphalia with some 10,000 citizens."
18,1.4,"Vladimir Mikhailovich Jurowski (; born April 4 1972, Moscow, Russia) is a Russian conductor."
35,1.9,"The two men toured New England and successfully raised private and public funds to found a school for deaf students in Hartford, which later became known as the American School for the Deaf."
35,1.1,The winter solstice occurs at the instant when the Sun's position in the sky is at its greatest angular distance on the other side of the equatorial plane from the observer's hemisphere.
21,2.1,"The largest by far is Triton, discovered by William Lassell just seventeen days after the discovery of Neptune itself."
34,1.6,"References External links ""A Remembrance of Olin Eggen — 1919 – 1998"", by Nicholas B. Suntzeff, 6 October 1998; NOAO Newsletter, No. 56, December 1998."
19,1.2,It was premiered in Wagner's Bayreuth Festival as part of the complete cycle on 14 August 1876.
13,1.1,Russia specifically blocked transfer of U. N. facility to the EU mission.
21,1.6,"Opeth decided against cancelling the remainder of the tour, and Lopez's drum technician filled in for two concerts."
29,1.4,"Despite a decrease in convection shortly after forming, the large depression remained well organized, with a wind field 575 miles (930 km) in diameter."
22,1.5,The album is named after a song on the album; a cover of the original by folk singer Tom Brosseau.
25,1.4,"Retiring sickly and suffering several long illnesses, Elizabeth died on September 23, 1830 aged 62, at her home, Oak Hill."
39,1.2,"After the critical and box office failure of the previous and presumed last installment Rocky V, Stallone had decided to end the series with a sixth installment which would be a more appropriate climax to the series."
16,1.3,Later that year he left for the Hamburg Opera to work as a chorus director.
20,1.0,Iran's diagonal distance from Azerbaijan in the northwest to Sistan and Baluchestan Province in the southeast is approximately.
25,1.2,"In the book The Very First Light, Mather with co-author John Boslough chronicled his team's work for the general public."
16,1.4,"An extensive canal network remains from the Industrial Revolution, nowadays mainly used for leisure."
37,1.6,"On October 16, 1990, the UN General Assembly decided to grant the ICRC observer status for its assembly sessions and sub-committee meetings, the first observer status given to a private organization."
18,1.1,Leonardo tells the story of the consternation that this statement caused to the twelve followers of Jesus.
11,1.2,The centrepiece is Cathedral Cave with the massive Altar Rock.
17,1.1,He is best known as an educator of poor children and an advocate of conscientious objection.
18,1.4,"The word cereal derives from Ceres, the name of the Roman goddess of harvest and agriculture."
22,1.4,"The marriage was not entirely happy although it inspired some of Moeran's masterpieces, the Cello Concerto and Cello Sonata."
24,1.4,"However, he has also donated over $33,000 to Republicans over the years and publicly endorsed John McCain for president in 2008."
7,1.0,Scattered trees grow in some tundra.
14,1.4,They make up the families Tupaiidae and Ptilocercidae and the entire order Scandentia.
16,1.0,"In the early 1970s, Barry Mazur considered generalizations of Iwasawa theory to abelian varieties."
23,1.1,The high mountainous Alps in the west of Austria flatten somewhat into low lands and plains in the east of the country.
10,1.0,From the word accountant the term accountancy is derived.
11,1.1,Plutoids Ice dwarfs that have achieved hydrostatic equilibrium are plutoids.
10,1.0,92 1287 to 1298 Emperor Fushimi Hirohito Traditional dates.
31,1.8,"As the truth about the mysterious Others begins to unfold, one of the crash survivors betrays the other castaways, and the cause of the plane crash is revealed."
13,1.0,The drug also extends the time before a patient needs ventilation support.
37,1.3,"As she continued to promote ""Just Say No"", she appeared in an episode of the popular 1980s sitcom Diff'rent Strokes and in a 1985 rock music video, ""Stop the Madness""."
15,1.0,This effect does not come into play by going from macro to micro dimensions.
52,1.7,"She expanded her range, her more recent films are Fight Club, Wallace & Gromit: The Curse of the Were-Rabbit, and Tim Burton's Charlie and the Chocolate Factory, Corpse Bride, Big Fish, and Sweeney Todd: The Demon Barber of Fleet Street."
26,1.4,Wire drawing This technique has long been used to produce flexible metal wire by drawing the material through a series of dies of decreasing size.
32,1.2,"It became known as the ""Water Ski Capital of the World"" because many of the sport's landmark ""firsts"" and over 50 world records were broken there."
35,1.6,"After returning to the United States, Ram Dass and Larry Brilliant founded the Seva Foundation, an international development organization committed to applying the teachings of Neem Karoli Baba toward ending world poverty."
14,1.0,A doll is an object that represents a baby or other human being.
25,1.0,"In the ancient tribal Hebraic context, it was considered the duty of the individual and family to avenge evil on behalf of God."
21,1.4,Frederick had a summer residence built there for Sophie Charlotte by the architect Johann Arnold Nering between 1695 and 1699.
27,1.2,He had been a surgeon-superintendent of ships taking convicts to New South Wales and Van Diemen's Land (now known as Tasmania).
24,1.1,"George Walker Bush (; born July 6, 1946) served as the 43rd President of the United States from 2001 to 2009."
10,1.0,Ballan Primary School was established on 8 January 1855.
22,1.3,"Mammals Only a few species of wild land mammals are found in the Faroe Islands today, all introduced by humans."
20,1.3,"The Asiatic Salamanders (Family Hynobiidae) are primitive salamanders found all over Asia, and in European Russia."
24,1.5,Original ratings The original movie ratings (used from 1968 to 1970) were: G (General Audiences): All ages admitted.
31,1.5,"Name In Chinese, the region is known as ""Inner Mongolia"", where the terms of ""Inner / Outer"" are derived from Manchu dorgi / tulergi."
42,2.4,"Ipswich were elected to The Football League on 30 May, 1938, and played in Division Three (South) until the end of the 1953 – 54 season, when they won the title and promotion to Division Two."
29,1.7,There is a size minimum of seven inches (178 mm) measured across the shell and a quantity limit of three per day and 24 per year.
37,1.7,"The island has no indigenous population, but is assigned the ISO 3166 - 1 alpha-2 country code SJ (together with Svalbard), the Internet country code top-level domain (ccTLD)."
31,1.6,"Purposes of cleanliness include health, beauty, absence of offensive odor, avoidance of shame, and to avoid the spreading of dirt and contaminants to oneself and others."
22,1.6,"For the 2008 - 09 season, Tranmere Rovers are playing in League One, the third tier of English Football."
19,1.4,"The coat of arms was established about 1350, when six towns of Upper Lusatia founded a confederacy."
28,1.4,Helmut Heinrich Waldemar Schmidt (born 23 December 1918) is a German Social Democratic politician who served as Chancellor of West Germany from 1974 to 1982.
44,1.2,"Ohio State has also won national championships in men's swimming & diving, men's outdoor track & field, men's golf, men's gymnastics, men's fencing, co-ed fencing, and multiple synchronized swimming championships."
7,1.0,PackageKit was created by Richard Hughes.
18,1.3,The Additions to Daniel comprise three chapters not found in the Hebrew / Aramaic text of Daniel.
22,1.6,"He stayed there until the outbreak of the Franco-Prussian war in 1870, when he became an army chef."
18,1.2,Appearance The coloration is yellowish-brown with several irregularly distributed dark spots on the rear half.
24,1.8,"Empoli is on the main railway line from Florence to Pisa, and is the point of divergence of a line to Siena."
23,1.2,"Out of 18,217 participants in the national casting, she was chosen among the 19 candidates to appear on the TV show."
26,1.5,"Two stellar occultations by Psyche have been observed (from Mexico on March 22, 2002, and another on May 16, 2002)."
22,1.5,"An earlier incarnation of the Wheat Kings played for the Stanley Cup in 1904, but lost to the Ottawa Senators."
33,1.6,"Following the dissolution of the Soviet Union in December 1991, Honecker took refuge in the Chilean embassy in Moscow, but was extradited by the Yeltsin administration to Germany in 1992."
8,1.0,It is the capital of Karbala Governorate.
37,1.3,"In the canonical Watson-Crick base pairing, adenine (A) forms a base pair with thymine (T), as does guanine (G) with cytosine (C) in DNA."
31,1.2,"To aid in the comparison of sizes of different geographic regions, areas between 1 km2 (100 hectares) and 10 km2 (1000 hectares) are listed below."
33,1.7,"Until 1943, von dem Bach-Zalewski remained the HSSPF in command of ""anti-partisan"" units on the central front, a special command created by Adolf Hitler."
40,1.4,"According to the fictional universe first established by Slayer, the 'Buffyverse,' The term 'Buffyverse' is used amongst fans of Buffy / Angel online to describe the fictional universe established by Buffy / Angel."
21,1.2,"To promote I Created Disco, Harris embarked on a tour of the UK, supporting Faithless and Groove Armada."
12,1.0,Coconuts from various parts of the world also differ in taste.
26,1.5,"After the band's break-up in 2003, Weiland became the frontman of Velvet Revolver with former members of Guns N 'Roses."
